Date,spread,regime,z_score,gmm_signal
2016-07-06,0.006316592573614388,1,0.02765729176931575,0
2016-07-07,-0.24819061091668324,1,-1.0942139733224658,1
2016-07-08,-0.1543096770612873,1,-0.6803855213652463,0
2016-07-11,-0.1974408040535916,1,-0.8705081243411396,0
2016-07-12,-0.32693607652983847,0,-1.4413250724039486,0
2016-07-13,0.09215388569852292,1,0.4060292643872394,0
2016-07-14,-0.024186966708272778,1,-0.10680281848323155,0
2016-07-15,-0.004734545604464305,1,-0.021056277821329905,0
2016-07-18,-0.19540191446388466,1,-0.8615206708937789,0
2016-07-19,0.13447597144189594,1,0.5925856023733694,0
2016-07-20,-0.07264155886268814,1,-0.32039132935558723,0
2016-07-21,0.07145245550725765,1,0.31477707443195846,0
2016-07-22,0.044064282605569105,1,0.19404963033452208,0
2016-07-25,-0.1556403341345986,1,-0.6862510761069847,0
2016-07-26,-0.185806062418091,1,-0.8192220226566633,0
2016-07-27,0.0059164614561831586,1,0.025893508282015462,0
2016-07-28,0.05193759295055414,1,0.22875529098402625,0
2016-07-29,0.026827744347582366,1,0.11807073183537746,0
2016-08-01,0.10076267393819177,1,0.4439769217458364,0
2016-08-02,0.2582831108903565,1,1.1383291815555363,-1
2016-08-03,-0.15386443725377388,1,-0.6784228981495803,0
2016-08-04,-0.06396539186309559,1,-0.28214666549344425,0
2016-08-05,-0.26624041424974315,0,-1.1737777554952942,0
2016-08-08,-0.09389800062684657,1,-0.4140900179831384,0
2016-08-09,0.05020947761240566,1,0.22113773472610662,0
2016-08-10,0.08037508131206682,1,0.3541081321085379,0
2016-08-11,-0.08483170681528374,1,-0.3741256697502227,0
2016-08-12,-0.06589553814755342,1,-0.29065477695064884,0
2016-08-15,-0.2195525803115597,1,-0.9679771392207076,0
2016-08-16,-0.13414426090668857,1,-0.5914960886803897,0
2016-08-17,0.127043021318563,1,0.559821055657718,0
2016-08-18,-0.04344814764371549,1,-0.19170636984393238,0
2016-08-19,-0.11662080872779367,1,-0.5142524696585744,0
2016-08-22,0.07810359593937155,1,0.3440953932400278,0
2016-08-23,-0.18922725254673783,1,-0.834302675954914,0
2016-08-24,0.007505738771229065,1,0.032899064618184905,0
2016-08-25,0.028719397506393823,1,0.12640916506354177,0
2016-08-26,-0.06731099678179286,1,-0.29689413814318905,0
2016-08-29,0.07862916803016307,1,0.3464121222689399,0
2016-08-30,-0.07759908725394545,1,-0.34224418291633246,0
2016-08-31,0.06654147382251721,1,0.2931293993958672,0
2016-09-01,-0.07745941199479851,1,-0.34162849244654514,0
2016-09-02,0.14089791269389268,1,0.6208936080326173,0
2016-09-06,0.0651656492737591,1,0.28706474579906466,0
2016-09-07,-0.0581117579737032,1,-0.25634376653099067,0
2016-09-08,0.07517474448718514,1,0.3311849756217087,0
2016-09-09,-0.07127475680766748,1,-0.3143664470356865,0
2016-09-12,0.025604065658847652,1,0.1126767392891154,0
2016-09-13,-0.06058671854763553,1,-0.26725342689443726,0
2016-09-14,-0.07127963259339669,1,-0.3143879395664649,0
2016-09-15,0.027910598447340562,1,0.12284396765010308,0
2016-09-16,0.04076704937460654,1,0.17951538075182352,0
2016-09-19,0.0868379917020139,1,0.38259673029323,0
2016-09-20,0.06489119058093112,1,0.2858549280936491,0
2016-09-21,0.06421156021982544,1,0.2828591080832442,0
2016-09-22,0.007737606871212832,1,0.03392114240260853,0
2016-09-23,-0.10765763844625825,1,-0.4747426913690867,0
2016-09-26,0.026406208599665137,1,0.1162125964415188,0
2016-09-27,-0.1342448958888946,1,-0.5919396890706798,0
2016-09-28,-0.10404024473433544,1,-0.45879716996821757,0
2016-09-29,-0.2704429285648879,0,-1.1923024965896163,0
2016-09-30,-0.03528975386823996,1,-0.1557440574987788,0
2016-10-03,-0.13071593683795557,1,-0.5763839888757933,0
2016-10-04,-0.12692140911474337,1,-0.5596576583087758,0
2016-10-05,-0.09076827870098936,1,-0.4002941605449391,0
2016-10-06,-0.03880798389807002,1,-0.17125246402056044,0
2016-10-07,0.13090130867776234,1,0.5768284395800266,0
2016-10-10,-0.03131992625737928,1,-0.1382450026079323,0
2016-10-11,-0.14435655523974722,1,-0.6365120230264479,0
2016-10-12,0.12012588111644118,1,0.5293302061927541,0
2016-10-13,0.11954324033668773,1,0.5267619175953707,0
2016-10-14,0.031170820330228055,1,0.13721507069974362,0
2016-10-17,0.046291337493407886,1,0.20386651901266034,0
2016-10-18,0.01274176324829801,1,0.0559795327683322,0
2016-10-19,-0.18401616743527138,1,-0.8113321408724967,0
2016-10-20,-0.07664801620545336,1,-0.33805184861014587,0
2016-10-21,-0.06743673623097546,1,-0.29744839937034445,0
2016-10-24,-0.08123436655953525,1,-0.3582685442609004,0
2016-10-25,0.07445732645174741,1,0.32802258702139203,0
2016-10-26,-0.036010819465251975,1,-0.1589225246008499,0
2016-10-27,-0.004079020596791327,1,-0.018166714541501486,0
2016-10-28,-0.07232324948012266,1,-0.31898821720468523,0
2016-10-31,0.11336642054271462,1,0.4995344107056777,0
2016-11-01,-0.15729347056626108,1,-0.6935381243104325,0
2016-11-02,0.0598608796442216,1,0.26368124806817794,0
2016-11-03,0.1463573097815737,1,0.6449587057328031,0
2016-11-04,-0.08937121789671797,1,-0.39413589724078146,0
2016-11-07,0.03714627229967182,1,0.16355494544010873,0
2016-11-08,0.075718092803096,1,0.3335800624962522,0
2016-11-09,0.0626448274565552,1,0.2759529284424085,0
2016-11-10,0.159884571279324,1,0.7045870610861596,0
2016-11-11,-0.2948686787192067,0,-1.299971540336294,0
2016-11-14,-0.24533476987955838,1,-1.081625386621255,1
2016-11-15,-0.020331736314626425,1,-0.08980890970726559,0
2016-11-16,-0.03748514072528317,1,-0.16542135306016287,0
2016-11-17,-0.028515241984911677,1,-0.12588191563127543,0
2016-11-18,-0.08982660938276793,1,-0.39614326919552606,0
2016-11-21,0.007893013062252041,1,0.0346061750372581,0
2016-11-22,-0.29273075807440063,0,-1.290547556631464,0
2016-11-23,-0.03872399530996372,1,-0.170882241165176,0
2016-11-25,0.08535957959888721,1,0.37607986934109994,0
2016-11-28,0.10984577040150406,1,0.48401533629953414,0
2016-11-29,0.12811395930791253,1,0.5645417650933243,0
2016-11-30,-0.2601364490054142,0,-1.146871392465799,0
2016-12-01,0.19028786159995392,1,0.8386051843738098,0
2016-12-02,0.036214447171918525,1,0.15944744741812542,0
2016-12-05,-0.20101940139001123,1,-0.8862826307834148,0
2016-12-06,-0.04114701169094498,1,-0.1815629308092834,0
2016-12-07,-0.26541744978831106,0,-1.1701501167926922,0
2016-12-08,-0.04931752622731665,1,-0.21757867163572928,0
2016-12-09,0.15346091408774132,1,0.6762714915415375,0
2016-12-12,0.22056636554263465,1,0.9720732475854535,0
2016-12-13,0.032519634681244414,1,0.14316066297216962,0
2016-12-14,-0.04552479273478249,1,-0.2008602500623003,0
2016-12-15,0.048480426648455144,1,0.21351605421674028,0
2016-12-16,0.09416643171621289,1,0.41490059500561755,0
2016-12-19,-0.02481533532033796,1,-0.10957267599647244,0
2016-12-20,-0.08024046034431317,1,-0.3538873919486583,0
2016-12-21,-0.10672826481266326,1,-0.4706459995671829,0
2016-12-22,0.15695720756792117,1,0.6916832014497447,0
2016-12-23,0.04801605183641815,1,0.21146908363707823,0
2016-12-27,-0.0655498337713316,1,-0.2891309072896688,0
2016-12-28,0.041287982887433516,1,0.18181166286505726,0
2016-12-29,0.08621812775189297,1,0.3798643614472006,0
2016-12-30,0.04122000076936727,1,0.18151199675049282,0
2017-01-03,-0.10498060581495447,1,-0.46294229458822606,0
2017-01-04,-0.06848453895228851,1,-0.3020671282251876,0
2017-01-05,0.10371649605385908,1,0.4569974103933654,0
2017-01-06,0.1458161625718951,1,0.6425733213649059,0
2017-01-09,-0.12702912511935427,1,-0.5601324719435422,0
2017-01-10,-0.02614486175848202,1,-0.11543324688279122,0
2017-01-11,0.003024482656764166,1,0.013145625825924266,0
2017-01-12,0.05404865794209929,1,0.2380608945986839,0
2017-01-13,0.005474320696993246,1,0.023944545714125166,0
2017-01-17,0.02890052309247554,1,0.12720756914645698,0
2017-01-18,-0.027794662596368036,1,-0.1227055917428424,0
2017-01-19,0.026471295085772145,1,0.11649949857044824,0
2017-01-20,-0.10530183125751437,1,-0.464358260771824,0
2017-01-23,-0.02777376561036532,1,-0.12261347754017164,0
2017-01-24,-0.32434587966065226,0,-1.429907448860804,0
2017-01-25,-0.0483737654080022,1,-0.21341856092063619,0
2017-01-26,0.03245642261831741,1,0.142882023326484,0
2017-01-27,0.06127001908421936,1,0.2698927541652982,0
2017-01-30,0.014169314287140578,1,0.062272197447233724,0
2017-01-31,0.27197293533251043,1,1.1986741166111332,-1
2017-02-01,-0.08995325047142537,1,-0.39670150486192884,0
2017-02-02,0.15279830507468772,1,0.6733507018682348,0
2017-02-03,0.045259344482809494,1,0.1993174795808156,0
2017-02-06,-0.05369369037983773,1,-0.23686886360951082,0
2017-02-07,0.1607176549341791,1,0.7082593053330114,0
2017-02-08,-0.13098382407710607,1,-0.5775648395227149,0
2017-02-09,-0.06968771109325356,1,-0.3073707276258981,0
2017-02-10,-0.014467406892989837,1,-0.06395886469108514,0
2017-02-13,0.09802610694691163,1,0.43191409668464753,0
2017-02-14,-0.010943478095840634,1,-0.04842533792431978,0
2017-02-15,0.006265025967505611,1,0.027429985457987912,0
2017-02-16,0.1742732781642793,1,0.7680126795939477,0
2017-02-17,0.006937138355687045,1,0.030392666139997405,0
2017-02-21,-0.08502339451076005,1,-0.37497063175710255,0
2017-02-22,0.09198131194629669,1,0.40526855690597136,0
2017-02-23,0.24965176649463894,1,1.1002820963498097,-1
2017-02-24,0.1251086583102884,1,0.5512943568237398,0
2017-02-27,-0.07878669092028374,1,-0.34747915626604897,0
2017-02-28,0.16882871806139516,1,0.7440129835274915,0
2017-03-01,0.02017550606824514,1,0.08874757370159783,0
2017-03-02,0.006714970420879041,1,0.029413346817527282,0
2017-03-03,0.01953138088349072,1,0.0859082609985078,0
2017-03-06,0.024592072450213248,1,0.1082158592603179,0
2017-03-07,0.05086097355274649,1,0.22400953782153527,0
2017-03-08,-0.08663787167343737,1,-0.38208726936938,0
2017-03-09,0.13582458839551376,1,0.5985303245153387,0
2017-03-10,0.01840611885692306,1,0.08094809045719215,0
2017-03-13,0.013205587593402152,1,0.058024076882157986,0
2017-03-14,-0.018187925811616712,1,-0.08035896342619601,0
2017-03-15,0.031603021685008614,1,0.1391202202358373,0
2017-03-16,-0.22264848034893947,1,-0.9816239093077687,0
2017-03-17,0.047639066373236214,1,0.2098073265131104,0
2017-03-20,-0.09011834050321413,1,-0.3974292240002359,0
2017-03-21,0.19421668626126198,1,0.8559234976972027,0
2017-03-22,-0.060864454918102995,1,-0.26847769264811844,0
2017-03-23,-0.08209715999784961,1,-0.36207174964322475,0
