,spread,regime,z_score,signal
0,0.013851771905130927,1,0.08146801656358935,0
1,0.01650558985154054,1,0.09687467093605089,0
2,0.04758739658550204,1,0.2773190960216742,0
3,-0.06697274954301038,1,-0.3877561321598802,0
4,0.14469467995527924,1,0.8410722931657852,0
5,-0.117814628409464,1,-0.6829170177819511,0
6,0.07805663587288125,1,0.4542072805814232,0
7,-0.0346851032436037,1,-0.2003112444243651,0
8,-0.07116160752024372,1,-0.41207441185117344,0
9,0.005004117322156415,1,0.03010324365170481,0
10,-0.08312847618605437,1,-0.4815476813737571,0
11,-0.07007510369699316,1,-0.4057667489981784,0
12,-0.0926355389120721,1,-0.5367406269619166,0
13,-0.1291170956965942,1,-0.7485331265600439,0
14,0.08325951142335009,1,0.4844124065424756,0
15,0.01492248568841753,1,0.08768401084957464,0
16,-0.03282794634645948,1,-0.18952958004213255,0
17,0.13381051394372512,1,0.7778846189323754,0
18,-0.2273781269380568,1,-1.3189843697084294,1
19,0.1387619880872138,1,0.8066302421451952,0
20,0.1487990148999377,1,0.8648998771214665,0
21,-0.037679870190697906,1,-0.2176972672080209,0
22,0.09719292597123208,1,0.5653023946661415,0
23,0.08910092672054623,1,0.5183245543790175,0
24,-0.03842761144531794,1,-0.22203825491049217,0
25,0.07362732246019518,1,0.4284930446260569,0
26,0.09815916134564157,1,0.5709118429239292,0
27,-0.0065810813623586595,1,-0.03715425312199067,0
28,0.0741250306809429,1,0.43138247362617615,0
29,0.10203123171443557,1,0.5933910223863214,0
30,-0.15027405631016527,1,-0.8713591780554242,0
31,0.008336848069668584,1,0.049451304362825695,0
32,0.07618318973215436,1,0.4433310495216962,0
33,-0.06182910668965439,1,-0.35789487970876505,0
34,0.17327327334459236,1,1.0069843940301078,-1
35,0.03534431759476825,1,0.20624229637904087,0
36,-0.003550686019643999,1,-0.019561390838318555,0
37,0.06491441251632435,1,0.3779105273643842,0
38,-0.021548122019148463,1,-0.1240449242359272,0
39,0.03611104002069821,1,0.21069347865848082,0
40,-0.1366941267384673,1,-0.792521335543816,0
41,-0.02518232888461018,1,-0.14514319481245505,0
42,0.04063692767652405,1,0.2369683732631525,0
43,-0.047858837462042725,1,-0.27679093293229434,0
44,-0.06627426012605915,1,-0.38370107441021467,0
45,-0.009066854063878499,1,-0.051585326252922385,0
46,0.013970508087773448,1,0.08215733563687157,0
47,-0.1624176731644391,1,-0.9418585534773575,0
48,-0.10956806815736608,1,-0.6350418785932808,0
49,-0.05399105219291733,1,-0.3123913074885526,0
50,-0.061367691094945664,1,-0.35521614637690296,0
51,-0.20481551301377793,1,-1.1879978433188008,1
52,0.0007502011646987605,1,0.005407270796427449,0
53,-0.1092859113261759,1,-0.6334038262231634,0
54,-0.015332779086252968,1,-0.08796195158778677,0
55,-0.0009277778172571693,1,-0.004334181986430341,0
56,-0.08125586640603033,1,-0.47067630577907693,0
57,0.08558577029218695,1,0.49791742726988875,0
58,-0.09896296785494918,1,-0.5734743113207496,0
59,0.3504612510255495,0,2.035643475478863,0
60,0.12982264305784286,1,0.7547331633082575,0
61,0.11626424850953221,1,0.6760203416793669,0
62,0.10885946072923428,1,0.6330320853874003,0
63,-0.034428838099341386,1,-0.19882350540643434,0
64,0.02357270024155067,1,0.1379025520453123,0
65,0.10275218888969767,1,0.5975765159811767,0
66,-0.18590382390160398,1,-1.078206643004966,1
67,-0.01833494605554757,1,-0.10539093496131437,0
68,0.12487200142184318,1,0.7259923731907759,0
69,0.03207188294449634,1,0.18724428271295027,0
70,-0.1688827203272235,1,-0.9793911759669442,0
71,0.015063442445510122,1,0.08850233075012646,0
72,-0.08222777581455859,1,-0.47631869445867603,0
73,-0.15101262473094956,1,-0.8756469131673345,0
74,0.1863052875034566,1,1.0826413313095786,-1
75,-0.05058241928761045,1,-0.29260259925191123,0
76,0.18349796248626318,1,1.0663434965957925,-1
77,-0.06717991341073228,1,-0.38895881530277315,0
78,-0.2035916064931248,1,-1.1808924935439922,1
79,0.13489949119240105,1,0.7842066411767884,0
80,-0.09669217340210984,1,-0.56029128746897,0
81,0.23914695720102605,1,1.3894119380106342,-1
82,-0.20924364498192366,1,-1.2137052204360474,1
83,0.1319419858436145,1,0.7670369393985987,0
84,-0.0391425000186055,1,-0.22618851743259344,0
85,0.04994376661655377,1,0.2909989261287681,0
86,-0.04884527723952353,1,-0.28251767719953236,0
87,-0.14387166788934658,1,-0.8341903188685105,0
88,-0.06459729864885388,1,-0.37396552871832256,0
89,0.43798276450282647,2,2.543746795121956,0
90,0.0892604995826276,1,0.5192509494758017,0
91,-0.11229225154548045,1,-0.6508570372648323,0
92,0.020096272189269127,1,0.11772026127261871,0
93,0.006745751594386562,1,0.04021424516625326,0
94,-0.013411280567730999,1,-0.07680675400080975,0
95,-0.07774747643576799,1,-0.45030846112388084,0
96,0.12294978598717396,1,0.7148330135702616,0
97,0.09728864391094955,1,0.5658580820735865,0
98,0.08258105965943882,1,0.4804736767403393,0
99,0.06172987790731388,1,0.35942281454876157,0
100,-0.11026148531054589,1,-0.6390674894794498,0
101,-0.28825968038691874,0,-1.6724302618481544,0
102,-0.10192594078465894,1,-0.590675754963392,0
103,0.5571507152009824,2,3.2355724839055235,0
104,0.24075910887512691,1,1.3987712324838895,-1
105,-0.0832265265277624,1,-0.48211690946562413,0
106,0.10235287958863287,1,0.595258338731099,0
107,-0.067743401726016,1,-0.39223012851709604,0
108,0.1128563685559163,1,0.6562360046794479,0
109,0.09051459170845019,1,0.5265315408064597,0
110,-0.18202934027498835,1,-1.0557134534522359,1
111,-0.06751905503983652,1,-0.39092769107663383,0
112,-0.07926645851079965,1,-0.4591268624990162,0
113,-0.06633338155269597,1,-0.38404430194299727,0
114,-0.14814633353635792,1,-0.859006752215206,0
115,-0.07350845303442552,1,-0.4256989476832105,0
116,-0.042126784672082966,1,-0.24351368559922387,0
117,0.012139959952032042,1,0.07153014755952913,0
118,0.025977465254897247,1,0.15186333765901391,0
119,-0.12255914293820908,1,-0.7104611436359464,0
120,-0.03978126392802231,1,-0.2298968406773365,0
121,0.05602482737599976,1,0.3263023279561149,0
