Date,spread,regime,z_score,signal
2016-07-06,0.01884709857341929,1,0.07796539760094152,0
2016-07-07,-0.11192272204583405,1,-0.531581616744657,0
2016-07-08,-0.13956886187928697,0,-0.6604463801423753,0
2016-07-11,-0.014461738972375848,1,-0.07729445043751887,0
2016-07-12,-0.0069906037807060395,1,-0.04246983931325943,0
2016-07-13,0.019701286960369095,1,0.08194695831952584,0
2016-07-14,-0.08614176241603547,1,-0.41141087020014083,0
2016-07-15,-0.0697945147997962,1,-0.3352127387806673,0
2016-07-18,0.0728563760788183,1,0.32971456797130944,0
2016-07-19,0.10075653765467964,1,0.4597633828109483,0
2016-07-20,-0.009398458900951756,1,-0.053693383802135536,0
2016-07-21,0.19263348432962632,1,0.8880221222334149,0
2016-07-22,0.019461062234059856,1,0.0808272178167066,0
2016-07-25,0.006030879038849968,1,0.018226167895641413,0
2016-07-26,-0.20330129815896908,0,-0.9575173409136691,0
2016-07-27,0.09498063056896693,1,0.43284060427870175,0
2016-07-28,0.018118188158287404,1,0.07456778517656816,0
2016-07-29,0.42727643364158446,2,1.9817447297361117,0
2016-08-01,0.1630705999447422,1,0.75022298916955,0
2016-08-02,-0.09156804016125908,1,-0.4367039491609301,0
2016-08-03,-0.1409755343357994,0,-0.6670031911249783,0
2016-08-04,-0.08777394717578077,1,-0.419018843832374,0
2016-08-05,-0.1475759508420913,0,-0.6977691901589732,0
2016-08-08,-0.0007970788253298909,1,-0.013600451659846559,0
2016-08-09,0.08577389142408916,1,0.38992595982141065,0
2016-08-10,-0.0781826229719198,1,-0.37431156347977435,0
2016-08-11,-0.16072043630877858,0,-0.7590385398712164,0
2016-08-12,0.070464828654628,1,0.31856703725529284,0
2016-08-15,-0.16239696932940312,0,-0.7668532305416954,0
2016-08-16,-0.05597628741857838,1,-0.27080292920928506,0
2016-08-17,0.035762799838768934,1,0.15681321702157822,0
2016-08-18,-0.18509085658066712,0,-0.8726344509517122,0
2016-08-19,-0.16299960397689306,0,-0.7696622437251595,0
2016-08-22,0.09310441428037312,1,0.4240951457962837,0
2016-08-23,-0.11452522174551216,0,-0.5437124426054103,0
2016-08-24,-0.09539251085674627,1,-0.4545306517047373,0
2016-08-25,0.10954203425009139,1,0.5007145227140049,0
2016-08-26,0.048746304394198525,1,0.21733219915390814,0
2016-08-29,0.020580015180886535,1,0.08604290462197696,0
2016-08-30,0.14231557141799472,1,0.6534792174703327,0
2016-08-31,0.13248371241634777,1,0.6076507513032815,0
2016-09-01,-0.03233178823614071,1,-0.16059069664597245,0
2016-09-02,-0.018426882788138005,1,-0.09577686146250493,0
2016-09-06,0.2116832633492697,1,0.9768173493766527,0
2016-09-07,0.2005486142820194,1,0.9249162909933917,0
2016-09-08,0.042127059172228615,1,0.18647843531782707,0
2016-09-09,0.03224129406688414,1,0.14039870089630999,0
2016-09-12,-0.033741892987630195,1,-0.1671635063134838,0
2016-09-13,-0.13354945886479308,0,-0.6323886133101446,0
2016-09-14,0.08964079675053205,1,0.407950459551766,0
2016-09-15,-0.09558535405808732,1,-0.4554295364554974,0
2016-09-16,0.0739558577818572,1,0.33483949500907206,0
2016-09-19,0.052190174848086746,1,0.23338483991627926,0
2016-09-20,0.13277495158730268,1,0.6090082813991048,0
2016-09-21,-0.08868313083240453,1,-0.4232567496485821,0
2016-09-22,0.16153012164499647,1,0.7430424796006935,0
2016-09-23,0.3142747892517286,1,1.4550191088871796,-1
2016-09-26,-0.01104343171629274,1,-0.06136096538573483,0
2016-09-27,-0.14191857400967237,0,-0.6713989073146667,0
2016-09-28,-0.04778982318610242,1,-0.23264401144582317,0
2016-09-29,-0.2459705312682129,0,-1.156408059911311,0
2016-09-30,-0.22779814208658344,0,-1.0717025405740945,0
2016-10-03,-0.1318622677455754,0,-0.6245242428882881,0
2016-10-04,0.0499277804599888,1,0.2228393200248625,0
2016-10-05,-0.2949590039713132,0,-1.3847541502563274,0
2016-10-06,-0.1351495509498466,0,-0.6398469958979908,0
2016-10-07,0.15260760149710467,1,0.7014526426579551,0
2016-10-10,0.16928503645381315,1,0.7791898501930389,0
2016-10-11,-0.043364792066053925,1,-0.2120179641297133,0
2016-10-12,0.024416352698640342,1,0.10392492104514967,0
2016-10-13,0.1556297602368324,1,0.7155395919858359,0
2016-10-14,-0.13622713014646165,0,-0.6448698305161559,0
2016-10-17,0.11057726622931716,1,0.5055399675995601,0
2016-10-18,0.19083508654425782,1,0.8796393929807015,0
2016-10-19,-0.024579719889607554,1,-0.12445659404297013,0
2016-10-20,0.2410626965585212,1,1.1137613759958076,-1
2016-10-21,-0.08631967676575714,1,-0.4122401682764748,0
2016-10-24,-0.040470953938327614,1,-0.198529145513904,0
2016-10-25,0.022804361279967433,1,0.09641107303534265,0
2016-10-26,-0.26199733690683025,0,-1.2311125405036631,0
2016-10-27,-0.05969444020103959,1,-0.28813406048022855,0
2016-10-28,-0.33518960816372956,0,-1.5722778813028504,0
2016-10-31,0.14549257081673972,1,0.668287913306363,0
2016-11-01,-0.079085361519731,1,-0.37851942722040854,0
2016-11-02,-0.2823690608705347,0,-1.326069644981946,0
2016-11-03,-0.07122643508639577,1,-0.3418872354752751,0
2016-11-04,0.29245057337355496,1,1.3532916188135566,-1
2016-11-07,-0.09977998180831438,1,-0.47498162278041856,0
2016-11-08,-0.12860526618844043,0,-0.6093426393235716,0
2016-11-09,-0.35524638983426315,0,-1.6657669701978404,0
2016-11-10,-0.25844944000664993,0,-1.2145750095009442,0
2016-11-11,-0.20901204455349176,0,-0.9841363910735781,0
2016-11-14,0.0985841805107579,1,0.44963754639931014,0
2016-11-15,-0.19160181598537532,0,-0.9029834706786763,0
2016-11-16,0.014908846492861755,1,0.05960833489276838,0
2016-11-17,-0.05681249088521578,1,-0.27470065824233403,0
2016-11-18,-0.058934546116930345,1,-0.28459202633202635,0
2016-11-21,-0.22382882147703603,0,-1.0532006605908328,0
2016-11-22,-0.1521310793520448,0,-0.7190016501413636,0
2016-11-23,-0.12987385094780907,0,-0.6152557930531993,0
2016-11-25,0.02764191019621698,1,0.11895995690386235,0
2016-11-28,0.12265656682049014,1,0.5618442553615675,0
2016-11-29,0.17304824183664652,1,0.7967309815841577,0
2016-11-30,-0.29720553961225304,0,-1.3952257490248452,0
2016-12-01,-0.08748986899511962,1,-0.4176946926938105,0
2016-12-02,0.06345323343971151,1,0.2858844434518188,0
2016-12-05,0.010034491113132538,1,0.03688788796928376,0
2016-12-06,0.041530712854455226,1,0.1836987334279459,0
2016-12-07,-0.16924539937387062,0,-0.7987752754507733,0
2016-12-08,0.33310661927576174,2,1.5427984276279683,0
2016-12-09,0.05174332626209094,1,0.231301979970701,0
2016-12-12,0.1582165340090616,1,0.727597115825688,0
2016-12-13,0.03261693512808743,1,0.14214964684268963,0
2016-12-14,0.0005961571460701975,1,-0.0071062711017921805,0
2016-12-15,-0.07773877786757888,1,-0.3722427034255067,0
2016-12-16,0.1379771923016775,1,0.633257074280659,0
2016-12-19,0.040201314522428824,1,0.177502114205518,0
2016-12-20,0.02387895005483598,1,0.10141996863731444,0
2016-12-21,-0.19829051852640772,0,-0.9341609904185166,0
2016-12-22,0.07526278552866872,1,0.3409313738711976,0
2016-12-23,0.13104156553051205,1,0.6009285861710955,0
2016-12-27,-0.038523650673753906,1,-0.1894523349369261,0
2016-12-28,0.10917312421217062,1,0.49899495155368767,0
2016-12-29,0.10235194288218552,1,0.4671999189206751,0
2016-12-30,0.31666408436222004,1,1.4661561410716237,-1
2017-01-03,0.058716260570711054,1,0.26380436675168895,0
2017-01-04,0.18967137295070313,1,0.8742150669156689,0
2017-01-05,0.1643655331651963,1,0.7562589588953395,0
2017-01-06,0.0412209177640037,1,0.18225471009328478,0
2017-01-09,0.09649855905592869,1,0.43991600419005905,0
2017-01-10,-0.10204414243220328,1,-0.48553537548692915,0
2017-01-11,-0.2941381020896434,0,-1.3809277452901587,0
2017-01-12,0.13537461020883537,1,0.621125864367172,0
2017-01-13,-0.09676557280202407,1,-0.46093079667161363,0
2017-01-17,0.1376592325877251,1,0.6317749938327081,0
2017-01-18,-0.13337603923542835,0,-0.6315802661180507,0
2017-01-19,-0.18354498130671365,0,-0.865428784894155,0
2017-01-20,-0.026014176526729577,1,-0.13114291322751462,0
2017-01-23,0.2048218592738202,1,0.9448348296438606,0
2017-01-24,-0.4174868563987882,0,-1.9558835306261384,0
2017-01-25,-0.21587942030230672,0,-1.0161467460947673,0
2017-01-26,0.035450664073474115,1,0.1553582832845358,0
2017-01-27,-0.020483967476866594,1,-0.10536538750263276,0
2017-01-30,0.004042536226811111,1,0.008958062924368133,0
2017-01-31,0.3204494444873445,1,1.4838005406094235,-1
2017-02-01,0.04509488197508071,1,0.20031211284387038,0
2017-02-02,-0.11350339094118259,0,-0.538949463555688,0
2017-02-03,0.030079516051769006,1,0.13032217614043387,0
2017-02-06,0.051839249155510525,1,0.23174909776144526,0
2017-02-07,-0.0677341336078221,1,-0.32560884701088133,0
2017-02-08,0.006784663295671213,1,0.02173972278950244,0
2017-02-09,-0.027323790966395367,1,-0.13724731535838852,0
2017-02-10,-0.07405814575178704,1,-0.3550864642683267,0
2017-02-13,-0.00741913077633663,1,-0.04446729827983277,0
2017-02-14,0.017244279539868602,1,0.07049430410390513,0
2017-02-15,-0.04004148679255279,1,-0.19652730429987675,0
2017-02-16,0.07694918483813717,1,0.34879205349294234,0
2017-02-17,-0.02404123337027382,1,-0.12194658945191922,0
2017-02-21,0.1338335455741446,1,0.6139426217616449,0
2017-02-22,0.07176383615976839,1,0.32462199812180853,0
2017-02-23,0.40971541303510983,2,1.8998889343480883,0
2017-02-24,-0.03303960897557809,1,-0.16389000543429103,0
2017-02-27,0.04852340824309717,1,0.21629323096713868,0
2017-02-28,0.06049175366991333,1,0.27208033220369493,0
2017-03-01,-0.2816496389552777,0,-1.3227162605510192,0
2017-03-02,0.041612675216791684,1,0.18408077810013646,0
2017-03-03,0.012949808314091905,1,0.050476825289073254,0
2017-03-06,-0.04914659170403812,1,-0.23896820914946404,0
2017-03-07,0.003628489412130592,1,0.00702809927914266,0
2017-03-08,-0.06009475720167545,1,-0.2900000264299704,0
2017-03-09,0.001354001558012019,1,-0.0035737909282312396,0
2017-03-10,-0.2081764704304762,0,-0.9802415955501407,0
2017-03-13,-0.04630764960472203,1,-0.22573527304583088,0
2017-03-14,0.14805980609278072,1,0.6802543639004163,0
2017-03-15,0.06126906600589255,1,0.2757035566706739,0
2017-03-16,-0.07301074827055373,1,-0.3502043132911702,0
2017-03-17,-0.139492211292361,0,-0.6600890948284757,0
2017-03-20,0.03811402934397534,1,0.16777281701302177,0
2017-03-21,0.17023433583151226,1,0.783614744244713,0
2017-03-22,-0.015011621852903112,1,-0.07985757598497262,0
2017-03-23,0.1372475326304087,1,0.629855969407959,0
2017-03-24,0.08407878303210645,1,0.38202468524267114,0
2017-03-27,-0.021127104313779482,1,-0.10836319033588224,0
2017-03-28,-0.104008953776203,1,-0.49469379508876093,0
2017-03-29,-0.019129476002952256,1,-0.09905180360405932,0
2017-03-30,0.041526941251333965,1,0.18368115315284134,0
2017-03-31,0.025162832430665995,1,0.10740442793573836,0
2017-04-03,0.22562396195092438,1,1.0417980243541891,-1
2017-04-04,-0.07282247934197032,1,-0.34932675023595894,0
2017-04-05,0.08844251705035971,1,0.402365013229884,0
2017-04-06,0.02423927113521479,1,0.1030995047696623,0
2017-04-07,-0.020451887251254394,1,-0.10521585448615503,0
2017-04-10,0.008706843268729739,1,0.030699428156263666,0
2017-04-11,0.03346651657851729,1,0.14610973361271523,0
2017-04-12,0.31577646000580933,1,1.4620187279150676,-1
2017-04-13,0.10117145979260556,1,0.4616974265311352,0
2017-04-17,0.03079769364512641,1,0.1336697605121789,0
2017-04-18,-0.06058442789124305,1,-0.29228248965753356,0
2017-04-19,0.03040460311437461,1,0.13183747873452836,0
2017-04-20,-0.15417673454551578,0,-0.7285369007798984,0
2017-04-21,-0.11807377336991193,0,-0.5602530254223117,0
2017-04-24,-0.304703276445367,0,-1.4301743562748328,0
2017-04-25,0.023063351550950517,1,0.09761828388624638,0
2017-04-26,0.13441257926686098,1,0.6166416256826521,0
2017-04-27,-0.11034242773932507,1,-0.5242155159749349,0
2017-04-28,0.1911863714764892,1,0.881276809630906,0
2017-05-01,0.18109651693098738,1,0.8342457692557806,0
2017-05-02,0.10601169352638226,1,0.48425882492708944,0
2017-05-03,-0.2223823577884834,0,-1.0464583738878197,0
2017-05-04,0.05475410110728734,1,0.24533586645204483,0
2017-05-05,-0.020417231542248837,1,-0.10505431657278683,0
2017-05-08,-0.011029121677812476,1,-0.0612942631360146,0
2017-05-09,-0.021430035312516034,1,-0.1097752186231292,0
2017-05-10,-0.0780036000034273,1,-0.37347709788651173,0
2017-05-11,0.025568151781800524,1,0.1092937109459207,0
2017-05-12,0.09286572876390875,1,0.422982579890485,0
2017-05-15,0.004140792163303986,1,0.009416055544128176,0
2017-05-16,-0.10094669351715474,1,-0.4804199237229297,0
2017-05-17,0.21649082909894246,1,0.9992264750839929,0
2017-05-18,0.04443522875628578,1,0.19723732350703532,0
2017-05-19,-0.16708317087443897,0,-0.7886966508880087,0
2017-05-22,0.0036004971785279782,1,0.006897621296252273,0
2017-05-23,0.17609377546995436,1,0.8109268864533472,0
2017-05-24,-0.022127400785994226,1,-0.11302579310777257,0
2017-05-25,-0.045092197640748205,1,-0.22006978300988553,0
2017-05-26,-0.12006024832244262,0,-0.5695124238879017,0
2017-05-30,-0.023742828649482045,1,-0.12055565914579873,0
2017-05-31,-0.03939179908076294,1,-0.19349896639206884,0
2017-06-01,-0.020081073833038032,1,-0.1034874112499196,0
2017-06-02,0.08360163445096692,1,0.3798005903279916,0
2017-06-05,0.08833746260312275,1,0.40187533125009856,0
2017-06-06,0.030706727223036356,1,0.13324574592893543,0
2017-06-07,0.1849697627407373,1,0.8522998233791221,0
2017-06-08,-0.05500859235499231,1,-0.26629228880301525,0
2017-06-09,0.17366897768922906,1,0.799624368482199,0
2017-06-12,0.02260450052361691,1,0.09547947791086041,0
2017-06-13,-0.05667653027725583,1,-0.2740669158218111,0
2017-06-14,0.2300200429176363,1,1.0622891286119729,-1
2017-06-15,0.09740808326973859,1,0.4441554974185236,0
2017-06-16,0.024586637936330313,1,0.10471865814541889,0
2017-06-19,0.007193456486651151,1,0.023645198134399747,0
2017-06-20,0.32503608356167446,1,1.5051798782914623,-1
2017-06-21,0.27810098901278957,1,1.2864050370106215,-1
2017-06-22,0.16283310314249483,1,0.7491159641232435,0
2017-06-23,-0.02300155449857419,1,-0.11710041661844967,0
2017-06-26,0.05692022217183832,1,0.2554326351205014,0
2017-06-27,0.15175982895401616,1,0.6975009876045438,0
2017-06-28,-0.10408860998516611,1,-0.4950650902707657,0
2017-06-29,0.2187075262261895,1,1.0095589899503699,-1
2017-06-30,-0.19397563418062602,0,-0.9140483615431156,0
2017-07-03,0.09692170895600916,1,0.4418883993267448,0
2017-07-05,0.1342069360149218,1,0.6156830770691705,0
2017-07-06,-0.24361366509220306,0,-1.145422186152397,0
2017-07-07,-0.04637817516514592,1,-0.22606400825849585,0
2017-07-10,-0.19241988224467094,0,-0.9067966581827136,0
2017-07-11,0.011444945500452275,1,0.04346232736661682,0
2017-07-12,0.12919136270748907,1,0.5923043821967621,0
2017-07-13,0.036723866578087475,1,0.16129296134457552,0
2017-07-14,0.05189293560031248,1,0.23199934213728746,0
2017-07-17,0.04657667099646878,1,0.20721905872480864,0
2017-07-18,0.0029911587504127812,1,0.004057360310767875,0
2017-07-19,0.03715386169365173,1,0.1632972635423931,0
2017-07-20,0.08905418069724547,1,0.40521611257358114,0
2017-07-21,-0.024027599031470614,1,-0.12188303678762163,0
2017-07-24,0.09337578320568671,1,0.42536005628884055,0
2017-07-25,-0.30730903913282254,0,-1.4423203916422458,0
2017-07-26,0.21634267353392014,1,0.9985358892753531,0
2017-07-27,-0.022164447145133326,1,-0.1131984743693869,0
2017-07-28,0.07309030516887557,1,0.33080496312317065,0
2017-07-31,0.017892689429681193,1,0.0735166858012708,0
2017-08-01,0.045432817330458744,1,0.2018873041681152,0
2017-08-02,-0.17286010247796324,0,-0.8156242049240391,0
2017-08-03,-0.08261531856280989,1,-0.3949733365871708,0
2017-08-04,-0.06346321716666042,1,-0.30570116224920063,0
2017-08-07,-0.0555121310503,1,-0.26863939386807406,0
2017-08-08,0.1344008237164593,1,0.6165868304660235,0
2017-08-09,-0.06675910358631991,1,-0.32106401674584323,0
2017-08-10,0.14146552970913273,1,0.6495169853341071,0
2017-08-11,-0.14444331438553673,0,-0.6831672797940225,0
2017-08-14,0.0585664589278706,1,0.2631061082108034,0
2017-08-15,0.1000447700654768,1,0.45644567688421345,0
2017-08-16,-0.03640736162939083,1,-0.1795878443199382,0
2017-08-17,0.17674853937320856,1,0.8139788856106444,0
2017-08-18,-0.0565252689516858,1,-0.27336185337735286,0
2017-08-21,0.21672837277901605,1,1.0003337186382004,-1
2017-08-22,-0.155057431010018,0,-0.7326420215022481,0
