Date,spread,regime,z_score,signal
2016-07-06,0.07448072775249029,1,0.2016829805568104,0
2016-07-07,0.2937952522806752,1,0.7825679186478774,0
2016-07-08,-0.13637802140413213,1,-0.3568056636098622,0
2016-07-11,-0.08393341258726061,1,-0.2178988428630969,0
2016-07-12,0.04262551299118522,1,0.11731002580469455,0
2016-07-13,-0.051659634165796775,1,-0.13241726420045094,0
2016-07-14,0.3426588090874866,1,0.9119898264385136,0
2016-07-15,0.08984280036255828,1,0.2423715606508434,0
2016-07-18,-0.23626518500219257,1,-0.6213706711832429,0
2016-07-19,-0.006899318599872362,1,-0.013863359973705603,0
2016-07-20,0.24069763719166212,1,0.6419315202145358,0
2016-07-21,-0.16107410513751805,1,-0.42221666683193143,0
2016-07-22,-0.1279269678166789,1,-0.3344218759856131,0
2016-07-25,-0.02755946966271075,1,-0.06858463571641937,0
2016-07-26,0.36647253284103065,1,0.9750637768668059,0
2016-07-27,0.43436843635691813,1,1.1548954947856744,-1
2016-07-28,-0.14097460284956637,1,-0.368980347133928,0
2016-07-29,-0.5763930932181183,0,-1.5222466133129262,0
2016-08-01,0.22331702393794312,1,0.5958965552454288,0
2016-08-02,0.38262042810638325,1,1.0178337172603793,-1
2016-08-03,0.03383792536671154,1,0.09403488110466256,0
2016-08-04,0.11617552276347046,1,0.3121174283927555,0
2016-08-05,0.2351004641750205,1,0.6271066311277256,0
2016-08-08,-0.17466541624374687,1,-0.4582151394707263,0
2016-08-09,0.04996351233956459,1,0.13674573489129382,0
2016-08-10,-0.011441612504293056,1,-0.025894255415479028,0
2016-08-11,0.14265306906970032,1,0.38224688233560683,0
2016-08-12,-0.2585606874561266,1,-0.6804234019156221,0
2016-08-15,0.23659148454744017,1,0.631055805395088,0
2016-08-16,0.1323569430219953,1,0.354976164380808,0
2016-08-17,0.05708498348110297,1,0.15560793898867092,0
2016-08-18,-0.09924848505846226,1,-0.2584629365702188,0
2016-08-19,0.30154358689521704,1,0.8030904576021937,0
2016-08-22,-0.06561840730325715,1,-0.16938901099754403,0
2016-08-23,-0.16354502311869684,1,-0.4287612358321515,0
2016-08-24,0.022082179879910957,1,0.06289815860985619,0
2016-08-25,0.1050943340652323,1,0.28276736311641637,0
2016-08-26,0.4559473761210496,1,1.212050309843751,-1
2016-08-29,-0.1387579232822339,1,-0.3631091638367535,0
2016-08-30,0.0892978374252848,1,0.2409281507227456,0
2016-08-31,-0.015795518370155054,1,-0.03742617900688966,0
2016-09-01,0.08948040695147365,1,0.2414117114360439,0
2016-09-02,-0.07895741862458322,1,-0.20471923266094672,0
2016-09-06,-0.3140668818381085,1,-0.8274392566868124,0
2016-09-07,-0.2157347133369112,1,-0.5669928693120552,0
2016-09-08,0.3006683679357875,1,0.8007723187914692,0
2016-09-09,0.7355677086183423,0,1.9526635450187853,0
2016-09-12,-0.03610084055669305,1,-0.09120764125441384,0
2016-09-13,0.46076498113995734,1,1.224810404959092,-1
2016-09-14,-0.16161637091002878,1,-0.42365293294504663,0
2016-09-15,0.24502989500646843,1,0.6534061059400467,0
2016-09-16,-0.07940176771222365,1,-0.20589615285271298,0
2016-09-19,-0.20916550869981249,1,-0.549593419653452,0
2016-09-20,0.1355294855063904,1,0.36337908319616574,0
2016-09-21,-0.1472696510267889,1,-0.38565365538185603,0
2016-09-22,-0.32337404562176764,1,-0.8520905709119196,0
2016-09-23,-0.37537725029146807,1,-0.9898282715502278,0
2016-09-26,-0.20672633836678303,1,-0.5431329387028924,0
2016-09-27,0.4701111918539366,1,1.2495651403951311,-1
2016-09-28,-0.3287631886357414,1,-0.866364463681998,0
2016-09-29,0.004387215237299014,1,0.01603059038536179,0
2016-09-30,0.3794152205099257,1,1.009344280364931,-1
2016-10-03,0.3482088761586975,1,0.9266899488950512,0
2016-10-04,0.4084704947177564,1,1.0863012041972406,-1
2016-10-05,0.6161814401096102,0,1.636452453478854,0
2016-10-06,-0.032658624607401585,1,-0.08209045486239588,0
2016-10-07,0.21800270969692387,1,0.5818208568595966,0
2016-10-10,-0.3033317723376559,1,-0.7990058301684979,0
2016-10-11,-0.27949496446505284,1,-0.7358707382490103,0
2016-10-12,-0.26076258146744985,1,-0.6862554236168853,0
2016-10-13,-0.2773653889480465,1,-0.7302302621108351,0
2016-10-14,0.36389685106672,1,0.9682417264292824,0
2016-10-17,-0.0791711996113714,1,-0.20528546125680763,0
2016-10-18,-0.03355303854043337,1,-0.08445943422313215,0
2016-10-19,-0.3102593524858217,1,-0.8173544870764039,0
2016-10-20,-0.08914530966004977,1,-0.2317032751731652,0
2016-10-21,-0.08071494174175099,1,-0.20937427641286394,0
2016-10-24,0.04240562985170396,1,0.11672763481103089,0
2016-10-25,0.18871611475726335,1,0.5042512479838445,0
2016-10-26,0.11147241131124973,1,0.29966058536954054,0
2016-10-27,0.7316629277426089,0,1.9423211912593192,0
2016-10-28,-0.36529509662910464,1,-0.9631242891369063,0
2016-10-31,-0.3037054623187031,1,-0.7999955999157267,0
2016-11-01,0.1417008886873926,1,0.3797249005215056,0
2016-11-02,0.38722482745511133,1,1.030029107585696,-1
2016-11-03,0.2493739115505329,1,0.6649118362909846,0
2016-11-04,-0.2730488768247575,1,-0.7187973810333036,0
2016-11-07,0.10540006325482976,1,0.28357712928103324,0
2016-11-08,0.03773137681861555,1,0.10434722731367609,0
2016-11-09,1.2089202183505128,0,3.2064033230957563,0
2016-11-10,1.0251306892462049,0,2.7196112628561617,0
2016-11-11,-0.023653412977949602,1,-0.058238902799783096,0
2016-11-14,-0.8391636539206455,0,-2.2182308907529107,0
2016-11-15,0.196430355971782,1,0.5246834858392964,0
2016-11-16,0.015838053143318626,1,0.046359722860462506,0
2016-11-17,0.36034061782421095,1,0.9588225494214835,0
2016-11-18,-0.1316760180800963,1,-0.34435175561784714,0
2016-11-21,0.05858161044236798,1,0.15957196308424842,0
2016-11-22,-0.7172990057181444,0,-1.8954554668319923,0
2016-11-23,0.26788020490888664,1,0.7139283211539419,0
2016-11-25,-0.07881410886062362,1,-0.20433965687341232,0
2016-11-28,-0.1763185406904721,1,-0.46259366886342684,0
2016-11-29,-0.0396044918728504,1,-0.10048754773692863,0
2016-11-30,0.11979144805978775,1,0.32169470808461315,0
2016-12-01,0.16575304261427104,1,0.4434303663351757,0
2016-12-02,-0.24289591526894685,1,-0.6389330800058611,0
2016-12-05,-0.2366069578554503,1,-0.6222759039904768,0
2016-12-06,0.055507508188043564,1,0.1514297768723208,0
2016-12-07,-0.5540012690152033,0,-1.4629387610681255,0
