,spread,regime,z_score,signal,minhash_signal,final_signal
0,0.199163772265773,1,0.6374088184387288,0,0.0,0
1,-0.0180222136341837,1,-0.0584594396971132,0,0.0,0
2,0.1013316312017904,1,0.3239526748031412,0,0.0,0
3,-0.1481590431485678,1,-0.4754204535408409,0,0.0,0
4,-0.0772461024024292,1,-0.2482139680402703,0,0.0,0
5,0.0303288163366346,1,0.0964582308213046,0,0.0,0
6,0.1152899876405562,1,0.3686755290022028,0,0.0,0
7,0.1275191589265047,1,0.407858039263789,0,0.0,0
8,-0.1120372516077607,1,-0.3596855084149343,0,0.0,0
9,-0.250743524422061,1,-0.8041031905956946,0,0.0,0
10,-0.0964939850312759,1,-0.3098845703226313,0,0.0,0
11,-0.1406674345556217,1,-0.4514171892390168,0,0.0,0
12,-0.0272744600169228,1,-0.0881038228165933,0,0.0,0
13,-0.0827364879757412,1,-0.2658052736190507,0,0.0,0
14,0.1281829082099109,1,0.4099847052904616,0,0.0,0
15,-0.082746404332105,1,-0.2658370458238794,0,0.0,0
16,-0.0970595812325955,1,-0.31169675190419,0,0.0,0
17,-0.2535386869439899,1,-0.8130589474198814,0,0.0,0
18,-0.2202842273116657,1,-0.7065109912812493,0,0.0,0
19,0.4178044259353358,2,1.3379378613061808,0,0.0,0
20,0.0999275726866972,1,0.3194540431388094,0,0.0,0
21,-0.1285454412680327,1,-0.4125780794354287,0,0.0,0
22,0.1064863489459859,1,0.3404684939199767,0,0.0,0
23,-0.0400816363825153,1,-0.1291382729549581,0,0.0,0
24,-0.072468892966622,1,-0.2329076931207802,0,0.0,0
25,0.1029788152328708,1,0.3292302855006616,0,0.0,0
26,0.2067427254139832,1,0.6616919364487811,0,0.0,0
27,0.0127320990794363,1,0.0400779955315564,0,0.0,0
28,0.0797703804008436,1,0.2548699944639221,0,0.0,0
29,0.0246718886009013,1,0.0783333208113266,0,0.0,0
30,-0.021307370655627,1,-0.0689851487328127,0,0.0,0
31,0.2677880640675304,1,0.8572824267842118,0,0.0,0
32,0.1742063705399121,1,0.5574448023692431,0,0.0,0
33,-0.0164750061289022,1,-0.0535021557949611,0,0.0,0
34,-0.0986592791742269,1,-0.3168222162179846,0,0.0,0
35,0.0392309829274094,1,0.1249809512606017,0,0.0,0
36,-0.307672947729363,1,-0.9865062055479504,0,0.0,0
37,-0.0099319853231215,1,-0.0325381858030734,0,0.0,0
38,0.0122294054005859,1,0.038467354894556,0,0.0,0
39,-0.2404460652103974,1,-0.7711099245930437,0,0.0,0
40,-0.1482909305386459,1,-0.4758430233858676,0,0.0,0
41,-0.1070629770682954,1,-0.3437478329478734,0,0.0,0
42,0.1017674009008393,1,0.3253488896655736,0,0.0,0
43,-0.1657012530260012,1,-0.5316260460917616,0,0.0,0
44,-0.4053483327296449,1,-1.2994600996090655,1,0.13601454846187236,1
45,0.0184146403025965,1,0.0582849716693589,0,0.0,0
46,-0.1136776628915239,1,-0.364941419094109,0,0.0,0
47,0.1020114802021004,1,0.3261309246459237,0,0.0,0
48,0.0304481244096609,1,0.096840496282008,0,0.0,0
49,-0.2900761091528055,1,-0.9301255815485404,0,0.0,0
50,0.1499101135950364,1,0.4795991074483957,0,0.0,0
51,-0.1218332403840537,1,-0.3910720530772464,0,0.0,0
52,-0.1384689231898856,1,-0.444373114695131,0,0.0,0
53,-0.1338422541936003,1,-0.4295491743654856,0,0.0,0
54,0.1416902176441501,1,0.4532623958336971,0,0.0,0
55,-0.1519650583473304,1,-0.4876150026312295,0,0.0,0
56,-0.3592806418585943,1,-1.1518582933970158,1,0.18272369382107534,1
57,-0.0698121614139606,1,-0.2243954719006846,0,0.0,0
58,0.1378799656181134,1,0.4410542718636814,0,0.0,0
59,0.1618757991307271,1,0.5179374040775243,0,0.0,0
60,0.1325509239855856,1,0.4239799155096364,0,0.0,0
61,0.4068976862781543,2,1.302992448526739,0,0.0,0
62,0.1252990629127071,1,0.4007448070742718,0,0.0,0
63,-0.1531978862604742,1,-0.4915650080100103,0,0.0,0
64,0.3605904795026584,2,1.1546232285493323,0,0.0,0
65,0.1509821114633204,1,0.483033810135298,0,0.0,0
66,-0.0916984824685201,1,-0.2945196838572221,0,0.0,0
67,-0.1823342615333472,1,-0.5849185392036192,0,0.0,0
68,-0.0498111770580714,1,-0.1603119165687766,0,0.0,0
69,-0.0563700390672884,1,-0.1813266420944354,0,0.0,0
70,-0.1762232099795092,1,-0.5653386073653542,0,0.0,0
71,0.0624434946924124,1,0.1993543048724269,0,0.0,0
72,-0.1111574667178306,1,-0.3568666599687372,0,0.0,0
73,-0.1544749074760928,1,-0.4956566096169591,0,0.0,0
74,-0.1281833962678371,1,-0.4114180799879096,0,0.0,0
75,-0.2378193717747748,1,-0.7626939461028595,0,0.0,0
76,-0.0579675182799024,1,-0.1864449975559244,0,0.0,0
77,-0.0632722654309252,1,-0.2034415139035937,0,0.0,0
78,0.1426380100546415,1,0.4562991417408055,0,0.0,0
79,0.4708676229109412,2,1.507953409489582,0,0.0,0
80,0.232311402739494,1,0.7436144918089435,0,0.0,0
81,-0.3247680546526287,1,-1.041279271259559,1,0.2848225640226467,1
82,-0.2412618880564839,1,-0.7737238373669332,0,0.0,0
83,0.1618539068440099,1,0.517867260751465,0,0.0,0
84,0.500840346414646,2,1.6039866172017858,0,0.0,0
85,-0.1456538414871201,1,-0.4673937371336709,0,0.0,0
86,-0.3690012657571588,1,-1.1830033674783773,1,-0.0368246502860524,0
87,0.2236027968768275,1,0.7157119438276163,0,0.0,0
88,0.0504289052923582,1,0.1608593192802891,0,0.0,0
89,1.353524307085905,0,4.3360031420893534,0,0.0,0
90,0.3733499009600299,2,1.1955046710032309,0,0.0,0
91,-0.0482905677789008,1,-0.1554398539169577,0,0.0,0
92,-0.0561640777029275,1,-0.1806667377490088,0,0.0,0
93,0.23700940878844,1,0.7586669974871763,0,0.0,0
94,-0.1244876645077294,1,-0.3995768812485575,0,0.0,0
95,-0.1506689259408538,1,-0.4834621683851757,0,0.0,0
96,-0.0378158174918012,1,-0.12187854375006,0,0.0,0
97,0.2926775556813559,1,0.9370288574916588,0,0.0,0
98,0.0877979000497961,1,0.2805903285458869,0,0.0,0
99,0.0969941308490733,1,0.3100552366116218,0,0.0,0
100,0.0366376606432903,1,0.1166718946096531,0,0.0,0
101,-0.1177937375903975,1,-0.3781294050463039,0,0.0,0
102,-0.1255180592803367,1,-0.4028782867818632,0,0.0,0
103,0.3212204322115566,1,1.028480806801161,-1,-0.07098353518253915,-1
104,0.4093398389008041,2,1.3108171545480936,0,0.0,0
105,0.0164182331388167,1,0.051888443045135,0,0.0,0
106,-0.1569993459151123,1,-0.5037449610455861,0,0.0,0
107,-0.083680174135597,1,-0.2688288630167028,0,0.0,0
108,-0.0417068121014161,1,-0.1343453685785086,0,0.0,0
109,-0.2959532381903108,1,-0.948956020949231,0,0.0,0
110,0.1380162340106913,1,0.4414908785286521,0,0.0,0
111,-0.0691662678266546,1,-0.2223260158827129,0,0.0,0
112,-0.0251354769644496,1,-0.0812504781832418,0,0.0,0
113,-0.0384828901810998,1,-0.1240158580359183,0,0.0,0
114,0.1825681674018942,1,0.5842361673512984,0,0.0,0
115,-0.1750696868597688,1,-0.5616426961364276,0,0.0,0
116,-0.0632822877119676,1,-0.2034736254932186,0,0.0,0
117,-0.0455528686306634,1,-0.1466682108954715,0,0.0,0
118,0.1812360662067384,1,0.5799680883843581,0,0.0,0
119,0.0555747075428351,1,0.1773465729763001,0,0.0,0
120,-0.0577346841842012,1,-0.1856989924398995,0,0.0,0
121,0.064635188720628,1,0.2063765365300607,0,0.0,0
122,-0.1562157911961836,1,-0.5012344359987897,0,0.0,0
123,-0.0734713412541695,1,-0.2361195575550179,0,0.0,0
124,-0.3694537017854949,1,-1.184452981594369,1,0.1689912818377125,1
125,0.168498787337851,1,0.5391575912284046,0,0.0,0
126,-0.3279934373123558,1,-1.0516134620405415,1,0.19724216176381995,1
127,-0.1168463985998346,1,-0.3750941119057471,0,0.0,0
128,-0.2086523263549166,1,-0.6692421471427049,0,0.0,0
129,-0.2079806309800428,1,-0.6670900216794778,0,0.0,0
130,0.0295731699818746,1,0.0940371247334757,0,0.0,0
131,0.1370820371547,1,0.4384976930510491,0,0.0,0
132,-0.0680236584878433,1,-0.2186650726269424,0,0.0,0
133,0.0509476678319566,1,0.1625214448696572,0,0.0,0
134,-0.0222345588725052,1,-0.0719558783900215,0,0.0,0
135,0.0875015261961085,1,0.2796407407699171,0,0.0,0
136,0.1474881473570266,1,0.4718390790086044,0,0.0,0
137,0.0810728428614581,1,0.2590431103304892,0,0.0,0
138,-0.2472299129004099,1,-0.7928455087558375,0,0.0,0
139,0.3474178916966983,1,1.1124179928215667,-1,0.05055441374955147,0
140,0.1809904078655916,1,0.5791809941285203,0,0.0,0
141,-0.127754283777625,1,-0.4100431949562122,0,0.0,0
142,-0.0177380993736795,1,-0.0575491319037749,0,0.0,0
143,-0.0084685153219283,1,-0.0278491985447821,0,0.0,0
144,-0.1143909598744237,1,-0.3672268369444703,0,0.0,0
145,0.0303049229427728,1,0.0963816759077881,0,0.0,0
146,-0.1069376145704654,1,-0.3433461689885757,0,0.0,0
147,0.0948970611136607,1,0.303336183087408,0,0.0,0
148,-0.0921611717333298,1,-0.2960021495486757,0,0.0,0
149,0.0866097774027796,1,0.2767835597370931,0,0.0,0
150,-0.1233183278255071,1,-0.3958303030480322,0,0.0,0
151,0.0748844355257044,1,0.2392153290142968,0,0.0,0
