Date,spread,regime,z_score,gmm_signal
2016-07-06,-0.021397179745949846,0,-0.06884240704712931,0
2016-07-07,0.45858437800544727,1,1.4898880053033918,0
2016-07-08,0.09743470600271342,0,0.3170617413146309,0
2016-07-11,0.1572415599947376,0,0.5112832914531453,0
2016-07-12,0.4341989846350719,1,1.4106969329596875,0
2016-07-13,-0.18486948848933282,0,-0.5997154272714639,0
2016-07-14,0.1927121630911473,0,0.6264733584419794,0
2016-07-15,0.0766903197010549,0,0.24969476587202374,0
2016-07-18,0.06702987206782864,0,0.21832265734066097,0
2016-07-19,-0.17800803442255672,0,-0.5774329938026981,0
2016-07-20,0.14988486400396175,0,0.48739256984092294,0
2016-07-21,-0.18859705824788953,0,-0.611820634759102,0
2016-07-22,-0.1824662640237407,0,-0.5919110043686917,0
2016-07-25,0.11785983482372961,0,0.3833919345383983,0
2016-07-26,0.5433245152703126,1,1.7650798891755566,0
2016-07-27,0.2956816102332608,0,0.9608645578773177,0
2016-07-28,-0.21726191865618685,0,-0.7049091898559158,0
2016-07-29,-0.3124840702706037,0,-1.014141203573659,1
2016-08-01,-0.15633478130417527,0,-0.5070495421374792,0
2016-08-02,-0.04188305272185938,0,-0.13536986568677728,0
2016-08-03,0.32002542810165824,0,1.039920614618245,-1
2016-08-04,0.0547192708103067,0,0.17834422845202694,0
2016-08-05,0.36294454481378446,1,1.1792995791014236,0
2016-08-08,0.11817048746191257,0,0.3844007727051837,0
2016-08-09,-0.015329647180934748,0,-0.04913821761676226,0
2016-08-10,-0.07812897730032388,0,-0.2530777735257663,0
2016-08-11,0.18014270428684126,0,0.5856542948995285,0
2016-08-12,-0.04511118852658087,0,-0.14585317149875432,0
2016-08-15,0.4043581931447416,1,1.3137895654297875,0
2016-08-16,0.3213588810373791,0,1.044250976088972,-1
2016-08-17,-0.2354557758613521,0,-0.7639933735827044,0
2016-08-18,0.05753732303662293,0,0.18749579612752146,0
2016-08-19,0.34849226397365285,1,1.1323660890338496,0
2016-08-22,-0.17281326530342328,0,-0.5605630860315197,0
2016-08-23,0.2707518255445453,0,0.8799055857249379,0
2016-08-24,0.07513929901650196,0,0.2446578575322046,0
2016-08-25,0.061568103611695596,0,0.20058567461641888,0
2016-08-26,0.30690358668035234,0,0.9973076996861593,0
2016-08-29,-0.17284922362638627,0,-0.5606798599589224,0
2016-08-30,0.16803881212803667,0,0.5463471496331023,0
2016-08-31,-0.1989386153372294,0,-0.6454046324896195,0
2016-09-01,0.1367165443327925,0,0.444628717731346,0
2016-09-02,-0.17942564165587838,0,-0.5820366446548232,0
2016-09-06,-0.3125355671171297,0,-1.014308438542428,1
2016-09-07,-0.012016740300278998,0,-0.03837961944820921,0
2016-09-08,0.06795066635970234,0,0.22131291820190369,0
2016-09-09,0.49410352268708113,1,1.6052357101096184,0
2016-09-12,-0.31341566737499615,0,-1.017166546350321,1
2016-09-13,0.32415768280281165,0,1.053340028281639,-1
2016-09-14,0.033390420242454394,0,0.10907921711213175,0
2016-09-15,0.00045611915217969035,0,0.002125739650589278,0
2016-09-16,-0.13771863190494318,0,-0.4465939730414821,0
2016-09-19,-0.07992909886197219,0,-0.25892363193168955,0
2016-09-20,-0.12168960125808917,0,-0.3945400198296158,0
2016-09-21,-0.1935852760325283,0,-0.6280197712441987,0
2016-09-22,-0.2273100296170022,0,-0.7375402272121628,0
2016-09-23,-0.11370284500058109,0,-0.3686031902294738,0
2016-09-26,0.05939675487847901,0,0.1935342634702505,0
2016-09-27,0.22416932980749943,0,0.7286298718648452,0
2016-09-28,0.16215904633416053,0,0.5272527289987995,0
2016-09-29,0.47495326549755024,1,1.5430456367545153,0
2016-09-30,0.25959759760769086,0,0.8436824558344558,0
2016-10-03,0.3497345357323486,1,1.136400341474203,0
2016-10-04,0.3656348118032994,1,1.1880361668018857,0
2016-10-05,0.4290938719260948,1,1.3941181825692792,0
2016-10-06,0.10888131089419673,0,0.3542343594587565,0
2016-10-07,-0.1813407888628373,0,-0.5882560465201782,0
2016-10-10,-0.2038293215043819,0,-0.6612871019668308,0
2016-10-11,0.14911302578477592,0,0.48488604081656705,0
2016-10-12,-0.23901712007706552,0,-0.7755587669779987,0
2016-10-13,-0.3731271240627344,1,-1.2110782956703554,0
2016-10-14,0.20430588464993624,0,0.6641237349911722,0
2016-10-17,-0.07063304050302732,0,-0.22873487020727,0
2016-10-18,-0.20616202856041027,0,-0.6688625210066168,0
2016-10-19,0.19997585946989144,0,0.6500620656928797,0
2016-10-20,0.027488332514087922,0,0.08991230644651288,0
2016-10-21,0.1605524233168082,0,0.5220352532064764,0
2016-10-24,0.06149755253414255,0,0.2003565614173176,0
2016-10-25,-0.17047922370007987,0,-0.5529833330762882,0
2016-10-26,0.27780244309227514,0,0.9028023237766757,0
2016-10-27,0.29043866320384165,0,0.9438381933157626,0
2016-10-28,0.10449563403652097,0,0.3399919624616165,0
2016-10-31,-0.2892727525300221,0,-0.9387629181193771,0
2016-11-01,0.2928491835518982,0,0.9516663094494486,0
2016-11-02,0.04767964054081611,0,0.1554831713644094,0
2016-11-03,0.1073567378045199,0,0.34928333914901094,0
2016-11-04,-0.08906919729753165,0,-0.2886059169555718,0
2016-11-07,-0.20870979373547216,0,-0.6771363369434229,0
2016-11-08,-0.20840442671018364,0,-0.6761446636977337,0
2016-11-09,0.6856584149066456,1,2.2273063528567087,0
2016-11-10,0.5409541217439985,1,1.7573820840848486,0
2016-11-11,0.3665940871011215,1,1.191151393952564,0
2016-11-14,-0.06283859954301033,0,-0.20342258065063296,0
2016-11-15,0.09297385180168616,0,0.30257520741366756,0
2016-11-16,0.04917356555381272,0,0.16033466266427943,0
2016-11-17,0.1074595073727079,0,0.3496170812455807,0
2016-11-18,0.1273132769453471,0,0.41409179685267644,0
2016-11-21,0.07017411836271975,0,0.22853353366417523,0
2016-11-22,0.035643763922578925,0,0.11639690519194576,0
2016-11-23,0.2851233044607478,0,0.926576673176889,0
2016-11-25,-0.23358861586414292,0,-0.757929809211588,0
2016-11-28,-0.31977561556921674,0,-1.0378203496292377,1
2016-11-29,-0.25459070644508613,0,-0.8261336740951056,0
2016-11-30,0.7405850898366723,1,2.4056796200793373,0
2016-12-01,0.09065241257738621,0,0.2950363804297902,0
2016-12-02,-0.20867351167137838,0,-0.6770185116732379,0
2016-12-05,0.1242193595648339,0,0.4040443626618745,0
2016-12-06,-0.01070471240470039,0,-0.03411883536252175,0
2016-12-07,0.08140829147079487,0,0.26501628388316756,0
2016-12-08,0.009057042814904652,0,0.030057065491942626,0
2016-12-09,-0.3709781900936479,1,-1.204099676017883,0
2016-12-12,-0.414433682037405,1,-1.345220508230087,0
2016-12-13,-0.1579661974580862,0,-0.5123475331399127,0
2016-12-14,0.31262752482008976,0,1.0158960731616313,-1
2016-12-15,-0.03598687513125695,0,-0.11622214807415224,0
2016-12-16,-0.4472070702781952,1,-1.451651424463643,0
2016-12-19,-0.019893757886837077,0,-0.06396007493134957,0
2016-12-20,0.09097375918728595,0,0.29607994705368934,0
2016-12-21,0.16456820903960295,0,0.5350764362155229,0
2016-12-22,-0.1575279768718315,0,-0.5109244206388547,0
2016-12-23,-0.05740235914425994,0,-0.18576849977703072,0
2016-12-27,0.07873766005195265,0,0.2563434623017928,0
2016-12-28,-0.005906231844660825,0,-0.01853586668129504,0
2016-12-29,-0.28223713980674503,0,-0.9159149079319266,0
2016-12-30,-0.11524078070007432,0,-0.3735976053446506,0
2017-01-03,0.03417046569225257,0,0.11161239895210116,0
2017-01-04,-0.09288903570309964,0,-0.3010107650103948,0
2017-01-05,-0.2918237796854513,0,-0.9470473272715284,0
2017-01-06,-0.02518133631441566,0,-0.08113137905679707,0
2017-01-09,0.13945680713690434,0,0.4535276658297109,0
2017-01-10,0.17624861042714896,0,0.5730083037575238,0
2017-01-11,0.18292291592145465,0,0.5946829760179126,0
2017-01-12,-0.20870881146091033,0,-0.677133147026627,0
2017-01-13,0.1117866705333633,0,0.3636694561937237,0
2017-01-17,-0.46265889924078685,1,-1.5018309268663268,0
2017-01-18,0.10215891470584823,0,0.3324035136409777,0
2017-01-19,0.22717042673816634,0,0.738375873519903,0
2017-01-20,0.06290491994292333,0,0.20492695864610816,0
2017-01-23,-0.0035274748093367947,0,-0.010810901264034618,0
2017-01-24,0.4919996009899795,1,1.5984032669010921,0
2017-01-25,0.24402844827262637,0,0.7931219578922382,0
2017-01-26,-0.008705488584374532,0,-0.027626396393748816,0
2017-01-27,0.07046545535614905,0,0.2294796446648321,0
2017-01-30,-0.057916215894771556,0,-0.1874372391935333,0
2017-01-31,-0.5287767804415049,1,-1.7165474103715477,0
2017-02-01,0.32218672642239354,0,1.046939387252916,-1
2017-02-02,-0.31529112925837394,0,-1.0232570709290576,1
2017-02-03,0.007922348355584446,0,0.02637216815806608,0
2017-02-06,0.08668456359748453,0,0.28215087102488484,0
2017-02-07,-0.07865116978700128,0,-0.25477358307707115,0
2017-02-08,-0.10442730135143868,0,-0.33848104961070563,0
2017-02-09,0.07476765663489132,0,0.2434509564057348,0
2017-02-10,0.012440033723603694,0,0.04104326012574921,0
2017-02-13,-0.05173949366913405,0,-0.16737845854611258,0
2017-02-14,-0.006796504913872934,0,-0.02142701048852503,0
2017-02-15,0.01564485293525253,0,0.05145084577275779,0
2017-02-16,-0.13373061026869426,0,-0.43364295334261116,0
2017-02-17,-0.05271589295482474,0,-0.1705492955014601,0
2017-02-21,-0.18495679595133832,0,-0.5999989564905669,0
2017-02-22,-0.0842791315659596,0,-0.2730502752597994,0
2017-02-23,-0.6059320286881593,1,-1.9671075203847839,0
2017-02-24,-0.1781470830932334,0,-0.5778845515517,0
2017-02-27,0.14583116427123893,0,0.47422826185056277,0
2017-02-28,-0.2364302633251571,0,-0.7671580019351002,0
2017-03-01,0.30315964611542645,0,0.9851493283355555,0
2017-03-02,-0.22652123212299713,0,-0.7349786232854378,0
2017-03-03,0.05228256422993688,0,0.17043107305791008,0
2017-03-06,0.08360961555015278,0,0.2721650393603767,0
2017-03-07,0.04407255622633219,0,0.1437692379223859,0
2017-03-08,0.17293659585868398,0,0.562252603354784,0
2017-03-09,-0.0826118932163038,0,-0.26763595240035404,0
2017-03-10,0.054005848878883045,0,0.17602740514206996,0
2017-03-13,0.03286375666460995,0,0.1073688877825856,0
2017-03-14,-0.08428275001592189,0,-0.2730620261029531,0
