Date,spread,regime,z_score,gmm_signal
2016-07-06,-0.015566495421633936,1,-0.10873807605748785,0
2016-07-07,0.04756381281121644,1,0.3457265253696878,0
2016-07-08,0.011479104091618342,1,0.08595870188020248,0
2016-07-11,-0.044751821010591164,1,-0.3188383865515514,0
2016-07-12,-0.04993488383484973,1,-0.3561503947855452,0
2016-07-13,-0.053272044488760044,1,-0.3801740599462456,0
2016-07-14,0.02537811649096354,1,0.1860153831655457,0
2016-07-15,-0.021160098029693916,1,-0.14900549199402513,0
2016-07-18,-0.14887261504328464,1,-1.0683866856952289,1
2016-07-19,0.05555200095495723,1,0.40323216477636137,0
2016-07-20,0.053850859292446596,1,0.3909859285506088,0
2016-07-21,-0.05216828970148962,1,-0.3722283125942761,0
2016-07-22,0.01635318939788971,1,0.12104643229118796,0
2016-07-25,-0.010987289366754138,1,-0.07577313239036751,0
2016-07-26,0.03508154343533504,1,0.25586874175340696,0
2016-07-27,0.10758798525939223,1,0.7778305712907165,0
2016-07-28,-0.0032835869503885506,1,-0.02031545847479249,0
2016-07-29,-0.09563932393479505,1,-0.6851690664014314,0
2016-08-01,0.045094103061958456,1,0.32794749516604166,0
2016-08-02,0.05470306236361766,1,0.3971207968874822,0
2016-08-03,0.005960650105406015,1,0.04623226838825944,0
2016-08-04,0.03830119367935715,1,0.27904646899477376,0
2016-08-05,0.023810984040548766,1,0.17473385699535124,0
2016-08-08,-0.06382411385855548,1,-0.45613665437376,0
2016-08-09,0.030466218413589492,1,0.22264378364409415,0
2016-08-10,0.05359986564718579,1,0.38917906699476973,0
2016-08-11,0.001199224107285124,1,0.011955553621088383,0
2016-08-12,-0.04603508978522502,1,-0.32807642527673603,0
2016-08-15,0.009528554848140552,1,0.07191702191197545,0
2016-08-16,-0.012379815629051272,1,-0.08579769761880766,0
2016-08-17,-0.08467529948781573,1,-0.6062408758094291,0
2016-08-18,-0.037553019910429294,1,-0.26701541333444656,0
2016-08-19,0.03763650244124076,1,0.2742614671936023,0
2016-08-22,-0.004545028965557155,1,-0.02939636998456367,0
2016-08-23,0.05935574714128311,1,0.43061470167326193,0
2016-08-24,-0.00785178867294567,1,-0.053201183781619844,0
2016-08-25,0.040508904277588284,1,0.294939410834864,0
2016-08-26,0.08449883758629664,1,0.6116156328835829,0
2016-08-29,-0.019521275205009153,1,-0.13720787872904563,0
2016-08-30,0.013974261596230143,1,0.1039209262471249,0
2016-08-31,-0.045077663533920176,1,-0.32118407274631144,0
2016-09-01,0.021368316330134016,1,0.1571494979369708,0
2016-09-02,0.0451730758754325,1,0.3285160073308593,0
2016-09-06,-0.06796180742239386,1,-0.48592322296426627,0
2016-09-07,-0.055167789714211414,1,-0.3938212148930341,0
2016-09-08,-0.06840786108260238,1,-0.4891342891633113,0
2016-09-09,0.041128675625318634,1,0.2994010418074765,0
