,spread,regime,z_score,signal,minhash_signal,final_signal
0,0.1396859537929177,0,0.5637553730154564,0,0.0,0
1,-0.0552997268705968,0,-0.2220765218721751,0,0.0,0
2,0.0489024236458968,0,0.1978793082846628,0,0.0,0
3,-0.0397387203699221,0,-0.1593625052163248,0,0.0,0
4,-0.0911082111549316,0,-0.3663919862819587,0,0.0,0
5,0.1134869866731592,0,0.458168214482789,0,0.0,0
6,-0.0360289411357572,0,-0.1444113414422557,0,0.0,0
7,0.0777274993405426,0,0.3140502177397666,0,0.0,0
8,-0.1463503878043404,0,-0.589029177928028,0,0.0,0
9,-0.0166355095607546,0,-0.0662518733669696,0,0.0,0
10,-0.1876450611921938,0,-0.7554550986762423,0,0.0,0
11,0.0966342893937435,0,0.390248421644745,0,0.0,0
12,-0.0944294922138757,0,-0.3797774235054665,0,0.0,0
13,-0.0951886191262986,0,-0.3828368591420708,0,0.0,0
14,0.1997192049874094,0,0.8057015681509031,0,0.0,0
15,0.0102367363591989,0,0.0420487354741749,0,0.0,0
16,-0.0594080058129195,0,-0.2386337204058649,0,0.0,0
17,-0.0660815314790971,0,-0.2655293842412187,0,0.0,0
18,-0.0968086386756663,0,-0.3893658669538369,0,0.0,0
19,0.0422533286961751,0,0.1710821051985325,0,0.0,0
20,-0.0037525330377786,0,-0.0143308614321816,0,0.0,0
21,-0.2467853256941832,0,-0.9938023760742908,0,0.0,0
22,-0.1103353784315564,0,-0.443881375466314,0,0.0,0
23,0.0250295839521076,0,0.1016669157177797,0,0.0,0
24,-0.0664276642367122,0,-0.2669243695543647,0,0.0,0
25,0.1259266000267689,0,0.5083023827974666,0,0.0,0
26,0.0255830472366797,0,0.103897485163628,0,0.0,0
27,-0.1037263871130645,0,-0.4172457981591326,0,0.0,0
28,0.0018350147925019,0,0.008188091161173,0,0.0,0
29,0.0474031295429357,0,0.1918368485413912,0,0.0,0
30,0.0151967481960126,0,0.0620385905605833,0,0.0,0
31,-0.0577962927903095,0,-0.2321381895839971,0,0.0,0
32,0.021042434435614,0,0.0855978933717056,0,0.0,0
33,0.0441422858425652,0,0.1786949861478311,0,0.0,0
34,0.0377525589656555,0,0.1529430890730835,0,0.0,0
35,0.0587952625299895,0,0.2377494582343937,0,0.0,0
36,-0.0673480051693047,0,-0.2706335304350034,0,0.0,0
37,-0.1294004542810959,0,-0.5207175032785624,0,0.0,0
