Date,spread,regime,z_score,signal,minhash_signal,final_signal,model_signal
2016-07-06,-0.1208693379249178,2,-0.3384707322510706,0,0.0,0,0.0
2016-07-07,-0.1745870188860622,2,-0.4902807137155345,0,0.0,0,0.0
2016-07-08,-0.1320931359039668,2,-0.3701899824620541,0,0.0,0,0.0
2016-07-11,-0.2099060117081476,2,-0.590094695810976,0,0.0,0,0.0
2016-07-12,-0.4410838278336185,2,-1.2434196225960372,1,0.0,0,1.0
2016-07-13,0.1000785385664235,2,0.2859436585902827,0,0.0,0,0.0
2016-07-14,-0.0104056116233947,2,-0.0262923965098148,0,0.0,0,0.0
2016-07-15,0.0569978849811021,2,0.164194671939216,0,0.0,0,0.0
2016-07-18,-0.124703835724421,2,-0.3493072953612535,0,0.0,0,0.0
2016-07-19,0.035367214077651,2,0.1030648597402856,0,0.0,0,0.0
2016-07-20,-0.0692623763006272,2,-0.1926257935373587,0,0.0,0,0.0
2016-07-21,-0.0541486297407104,2,-0.1499132723699018,0,0.0,0,0.0
2016-07-22,0.1462073918138435,2,0.4163070739717686,0,0.0,0,0.0
2016-07-25,0.0927318991369634,2,0.2651815337990216,0,0.0,0,0.0
2016-07-26,-0.2966444313050682,2,-0.8352236298167092,0,0.0,0,0.0
2016-07-27,-0.0427819551204012,2,-0.1177902426235155,0,0.0,0,0.0
2016-07-28,0.0189678176865383,2,0.0567190008420949,0,0.0,0,0.0
2016-07-29,-0.199911440473797,2,-0.5618493276810762,0,0.0,0,0.0
2016-08-01,0.2530273671608677,2,0.7181879107338016,0,0.0,0,0.0
2016-08-02,0.2762148705546476,2,0.7837174421177627,0,0.0,0,0.0
2016-08-03,-0.2985287390208043,2,-0.8405488172462662,0,0.0,0,0.0
2016-08-04,0.1717040470630101,2,0.4883624324966749,0,0.0,0,0.0
2016-08-05,-0.2016440167630102,2,-0.5667457113232048,0,0.0,0,0.0
2016-08-08,-0.1628966036691522,2,-0.4572427700508646,0,0.0,0,0.0
2016-08-09,0.1042063285826238,2,0.2976090863346753,0,0.0,0,0.0
2016-08-10,0.0923804499787924,2,0.2641883135178586,0,0.0,0,0.0
2016-08-11,-0.0642046487210583,2,-0.178332296194053,0,0.0,0,0.0
2016-08-12,0.0445145919542016,2,0.128915999272762,0,0.0,0,0.0
2016-08-15,-0.264647306027477,2,-0.7447974813234262,0,0.0,0,0.0
2016-08-16,-0.1379217489215533,2,-0.3866620568020346,0,0.0,0,0.0
2016-08-17,0.2045924510179442,2,0.5813073978313805,0,0.0,0,0.0
2016-08-18,0.142617215741257,2,0.4061609814137568,0,0.0,0,0.0
2016-08-19,0.016241829472222,2,0.0490151645467969,0,0.0,0,0.0
2016-08-22,0.0611130714653101,2,0.1758244812070865,0,0.0,0,0.0
2016-08-23,-0.3133100650263706,2,-0.8823218943183821,0,0.0,0,0.0
2016-08-24,0.1282687917909299,2,0.3656113162947616,0,0.0,0,0.0
2016-08-25,-0.0127372757508686,2,-0.0328818449305163,0,0.0,0,0.0
2016-08-26,-0.0112195503797249,2,-0.0285926452417187,0,0.0,0,0.0
2016-08-29,-0.0283204132391513,2,-0.0769208981980158,0,0.0,0,0.0
2016-08-30,-0.2473742662051674,2,-0.6959826440418895,0,0.0,0,0.0
2016-08-31,0.1576353543241001,2,0.448603307647856,0,0.0,0,0.0
2016-09-01,-0.0053263038281191,2,-0.0119379119442793,0,0.0,0,0.0
