Date,spread,regime,z_score,signal,minhash_signal,final_signal,model_signal
2016-07-06,-0.0317662879420509,0,-0.1503776317625122,0,0.0,0,0.0
2016-07-07,-0.1012820024017667,0,-0.4681604807968669,0,0.0,0,0.0
2016-07-08,-0.1274340331405112,0,-0.587711389548704,0,0.0,0,0.0
2016-07-11,0.0817915306042287,0,0.3687384758432755,0,0.0,0,0.0
2016-07-12,0.2698525177770076,0,1.2284369880496222,-1,0.0,0,-1.0
2016-07-13,-0.065509802595879,0,-0.3046321094222363,0,0.0,0,0.0
2016-07-14,-0.0783284461630071,0,-0.3632310191101816,0,0.0,0,0.0
2016-07-15,-0.0150139485773558,0,-0.0737962979924594,0,0.0,0,0.0
2016-07-18,0.1726530963499978,0,0.7841013539324506,0,0.0,0,0.0
2016-07-19,-0.0522320787206365,0,-0.2439345685200107,0,0.0,0,0.0
2016-07-20,0.1066915909328566,0,0.4825661502598872,0,0.0,0,0.0
2016-07-21,0.0952144096021018,0,0.430099576183536,0,0.0,0,0.0
2016-07-22,-0.1227407632494279,0,-0.5662566625295362,0,0.0,0,0.0
2016-07-25,-0.1089469195864394,0,-0.5031997411927188,0,0.0,0,0.0
2016-07-26,0.0451720616018567,0,0.2013369137627671,0,0.0,0,0.0
2016-07-27,0.0192706208671636,0,0.0829315475123037,0,0.0,0,0.0
2016-07-28,-0.0232962495421963,0,-0.1116578551615543,0,0.0,0,0.0
2016-07-29,0.2783565146265175,0,1.2673120016781234,-1,0.0,0,-1.0
2016-08-01,-0.1260026904456074,0,-0.581168176074366,0,0.0,0,0.0
2016-08-02,0.060755714646847,0,0.2725757365453439,0,0.0,0,0.0
2016-08-03,0.0864600487763402,0,0.3900800533129566,0,0.0,0,0.0
2016-08-04,-0.0545597187485818,0,-0.2545750990152486,0,0.0,0,0.0
2016-08-05,-0.113776873105029,0,-0.5252793012140774,0,0.0,0,0.0
2016-08-08,0.1337119355861698,0,0.6060864531519186,0,0.0,0,0.0
2016-08-09,-0.0483411715584943,0,-0.2261477476130595,0,0.0,0,0.0
2016-08-10,-0.1727184822510605,0,-0.7947238811435497,0,0.0,0,0.0
2016-08-11,0.0005669572070252,0,-0.0025700339861278,0,0.0,0,0.0
2016-08-12,0.074357843903129,0,0.3347562581955924,0,0.0,0,0.0
2016-08-15,0.0489299739864317,0,0.218515764807789,0,0.0,0,0.0
2016-08-16,0.09917195324049,0,0.4481910178433003,0,0.0,0,0.0
2016-08-17,-0.0232720034715579,0,-0.1115470171234898,0,0.0,0,0.0
2016-08-18,0.0113867675542086,0,0.0468914465562587,0,0.0,0,0.0
2016-08-19,-0.0771703297913008,0,-0.357936827387137,0,0.0,0,0.0
2016-08-22,-0.050312483408498,0,-0.2351593660780094,0,0.0,0,0.0
2016-08-23,0.078198350315298,0,0.3523126780479843,0,0.0,0,0.0
2016-08-24,-0.19682930287404,0,-0.9049436397934704,0,0.0,0,0.0
2016-08-25,0.0805687141739541,0,0.3631485154713099,0,0.0,0,0.0
2016-08-26,0.0824590107094064,0,0.3717897820284409,0,0.0,0,0.0
2016-08-29,-0.0648106843527256,0,-0.3014361732393476,0,0.0,0,0.0
2016-08-30,0.0813031244068609,0,0.3665057848022374,0,0.0,0,0.0
2016-08-31,-0.049257178923591,0,-0.2303351667092925,0,0.0,0,0.0
2016-09-01,0.0511658371093786,0,0.2287367480600382,0,0.0,0,0.0
2016-09-02,-0.0739272517536873,0,-0.3431114805365224,0,0.0,0,0.0
2016-09-06,0.2823654649101474,0,1.285638442723439,-1,0.0601215407966189,0,-1.0
2016-09-07,0.347526555001222,0,1.5835146426052034,-1,-0.1385413737639151,-1,0.0
2016-09-08,0.305844655741836,0,1.3929707806488316,-1,0.0131343347045364,0,-1.0
2016-09-09,0.1054281281366558,0,0.4767903798438572,0,0.0,0,0.0
2016-09-12,-0.1211115285872658,0,-0.5588088093827859,0,0.0,0,0.0
2016-09-13,-0.0638530888647348,0,-0.2970586389686969,0,0.0,0,0.0
2016-09-14,0.1161162612933055,0,0.5256499137172663,0,0.0,0,0.0
2016-09-15,-0.0307503139216287,0,-0.1457332269503924,0,0.0,0,0.0
