,spread,regime,z_score,signal
0,0.08401879132830636,2,0.26124721653821015,0
1,-0.3588173444981281,0,-1.1190946344788248,0
2,-0.10657528276362704,2,-0.3328438156535508,0
3,-0.2502881446224496,2,-0.7808038209565349,0
4,-0.3054807871824137,0,-0.95284198187031,0
5,0.14984660450061413,3,0.466435723372893,0
6,-0.038902367119959314,2,-0.1219040343527947,0
7,0.051586253705902266,2,0.1601534136773811,0
8,-0.2013921349066326,2,-0.6283925719681933,0
9,0.05876471792228655,2,0.18252903703388845,0
10,-0.279431766909662,2,-0.8716459141795666,0
11,0.11033556163377542,3,0.34327787415030486,0
12,0.019463485214958665,2,0.06002517631971524,0
13,-0.23038231265178,2,-0.7187563710636982,0
14,-0.16307849129692875,2,-0.5089670746773539,0
15,-0.07330932126566311,2,-0.2291521898916499,0
16,0.016518844370802192,2,0.05084658707514556,0
17,0.2149691241526862,3,0.6694257958783276,0
18,-0.08468799700685445,2,-0.26462007759102835,0
19,0.3301296315960781,3,1.0283867187754958,0
20,-0.10764548315171829,2,-0.33617968250167996,0
21,-0.2200129336429234,2,-0.6864345105446363,0
22,-0.26779500973472087,2,-0.8353735740537607,0
23,0.013228763439817756,2,0.04059124421836731,0
24,0.009438343298091692,2,0.028776319619230547,0
25,0.11236748399403847,3,0.3496114753291113,0
26,-0.03268706712725544,2,-0.10253064089531594,0
27,-0.05356392454756283,2,-0.16760482451221131,0
28,-0.2668285589503564,2,-0.8323610997846569,0
29,-0.11572248295221488,2,-0.36135608513303935,0
30,0.17090580167596958,3,0.5320782689066119,0
31,0.02575757573204626,2,0.07964416368760846,0
32,-0.1315650988582197,2,-0.4107382922192688,0
33,0.08145184749159526,2,0.2532459273019331,0
34,-0.18340555512885692,2,-0.5723275248428353,0
35,0.03634958055672094,2,0.1126599597413506,0
36,-0.06993031091862854,2,-0.21861964970423506,0
37,-0.15973144638912695,2,-0.4985341723243195,0
38,0.14965602855866927,3,0.4658416888594888,0
39,-0.12368311664802331,2,-0.38616976893604227,0
40,0.044835709659240136,2,0.13911163837746798,0
41,-0.2285891206011763,2,-0.7131669039129653,0
42,0.2112107574626483,3,0.6577107834526907,0
43,0.09373981307182687,3,0.2915481158137091,0
44,-0.12628904828914078,2,-0.3942925850617204,0
45,0.12165441617119019,3,0.3785592962375288,0
46,-0.2819193501244084,2,-0.8793998324834418,0
47,0.03623279483260011,2,0.11229593293874005,0
48,-0.18994518611084443,2,-0.5927118738251032,0
49,-0.12571063100454224,2,-0.3924896301520155,0
50,-0.04315579215578147,2,-0.1351621678069492,0
51,-0.01178628200383583,2,-0.03738187345986455,0
52,0.13811231206846017,3,0.4298593610894795,0
53,-0.035446586335795185,2,-0.11113219696554084,0
54,0.13345090913607027,3,0.41532954061757205,0
55,0.06962028527639985,2,0.21636637035686243,0
56,-0.07509289321481943,2,-0.23471167071659646,0
57,0.06109455435951994,2,0.18979125093234533,0
58,-0.29477343408754775,2,-0.9194666396280203,0
59,0.17715718724380894,3,0.5515641428631913,0
60,-0.216765282417547,2,-0.6763114231513103,0
61,0.030787787043531967,2,0.09532357787937264,0
62,-0.15720544340446038,2,-0.49066049772226356,0
63,-0.306101003973157,0,-0.9547752278809787,0
64,-0.05941365751037997,2,-0.18583872769353427,0
65,0.05039471406562104,2,0.15643932645738376,0
66,0.03900015422276032,2,0.12092192723776962,0
67,-0.06433210535993548,2,-0.201169769719082,0
68,-0.014737697925905957,2,-0.04658158095299511,0
69,0.19331143115300137,3,0.6019177096464924,0
70,0.09314928827126759,3,0.2897074211857645,0
71,-0.0399909200676491,2,-0.12529710702501468,0
72,0.10457842796480117,3,0.325332607487832,0
73,-0.12428487786794945,2,-0.38804548803162364,0
74,-0.11317515567853874,2,-0.3534159416812628,0
75,-0.11239962499352162,2,-0.3509985746809857,0
76,-0.11730563058331486,2,-0.36629083357552483,0
77,-0.18220495068809867,2,-0.5685851821972816,0
78,0.09520944724632452,3,0.2961290372711645,0
79,0.22253734896506758,3,0.6930163220374893,0
80,-0.0003042404279126609,2,-0.0015917894081505163,0
81,-0.17989959718930995,2,-0.561399282813014,0
82,0.13032216637526645,3,0.4055770967124595,0
83,-0.05622115452729182,2,-0.17588754006330778,0
84,0.08343813634584468,2,0.2594372866150398,0
85,0.09346052227284915,3,0.2906775527605981,0
86,-0.060615479547683086,2,-0.1895848656469515,0
87,0.016519080564852517,2,0.05084732330352949,0
88,0.04131862516085566,2,0.1281487143206423,0
89,0.4492830635777806,4,1.3997937823605666,0
90,0.16693546138073623,3,0.5197025244067595,0
91,-0.39489122101370067,0,-1.2315386684101068,0
92,0.11142495049871967,3,0.34667355241740966,0
93,0.010757826122820613,2,0.03288921199029342,0
94,-0.22061451452696798,2,-0.6883096675244724,0
95,-0.2867048533742764,2,-0.8943164797024933,0
96,-0.01829922907817022,2,-0.05768304739948699,0
97,0.05380392631953557,2,0.16706600746275402,0
98,-0.03484202498108209,2,-0.1092477497131488,0
