Date,spread,regime,z_score,gmm_signal
2016-07-06,0.07697243071443693,1,0.40021286765259706,0
2016-07-07,-0.007702479108411597,1,-0.037366059214517876,0
2016-07-08,-0.004456587056711148,1,-0.020592094368483638,0
2016-07-11,-0.061368279790167124,1,-0.31469760312660183,0
2016-07-12,-0.04276332316906245,1,-0.21855180303417096,0
2016-07-13,0.04157662005554368,1,0.2172960995554822,0
2016-07-14,0.11366215767582788,1,0.5898162741918119,0
2016-07-15,0.06691194192562577,1,0.34822275751044574,0
2016-07-18,-0.1650428888032785,1,-0.8504622617514117,0
2016-07-19,-0.058027860044610455,1,-0.29743514261020476,0
2016-07-20,-0.03319216494723859,1,-0.16909043186361755,0
2016-07-21,-0.07912131981608347,1,-0.40644090960808354,0
2016-07-22,-0.09608461441249755,1,-0.49410300763876425,0
2016-07-25,-0.17035301423458485,1,-0.877903672585177,0
2016-07-26,0.25720625104809525,2,1.3316165367177561,0
2016-07-27,0.054649850973284834,1,0.284855313585227,0
2016-07-28,-0.04946246845035969,1,-0.2531713238491307,0
2016-07-29,-0.26847590676341665,0,-1.3849784377510628,0
2016-08-01,-0.14057048695308821,1,-0.7239949603764125,0
2016-08-02,0.25545790632150606,2,1.3225815249196302,0
2016-08-03,0.09075230964734839,1,0.4714238633116098,0
2016-08-04,-0.07533569811201749,1,-0.3868777558207846,0
2016-08-05,0.027064778951015167,1,0.1423025049869034,0
2016-08-08,0.004114434305814915,1,0.023700817638341365,0
2016-08-09,-0.08444940229884337,1,-0.4339751180287748,0
2016-08-10,0.07271455037471951,1,0.3782091983994485,0
2016-08-11,0.13292557810824648,1,0.6893648519020564,0
2016-08-12,-0.11919525231021462,1,-0.6135330507489928,0
2016-08-15,0.0955849096956948,1,0.49639754143606857,0
2016-08-16,0.06486682713307429,1,0.33765411163745934,0
2016-08-17,0.0590428214412949,1,0.307557095106724,0
2016-08-18,0.0744615015597804,1,0.38723700872068145,0
2016-08-19,0.08762422838002557,1,0.45525871537142387,0
2016-08-22,-0.04893067770580047,1,-0.2504231612138362,0
2016-08-23,0.0039044634285765323,1,0.0226157402366938,0
2016-08-24,0.03285177489339486,1,0.17220826431453307,0
