Date,spread,regime,z_score,gmm_signal,minhash_signal,final_signal,model_signal
2016-07-06,-0.0875157721169336,2,-0.3650883037406267,0,0.0,0,0.0
2016-07-07,0.2557260502855605,2,1.0681881833027869,-1,0.0,0,-1.0
2016-07-08,0.0354403644050644,2,0.1483402119955118,0,0.0,0,0.0
2016-07-11,0.0012303842260255,2,0.005489437373586,0,0.0,0,0.0
2016-07-12,0.1283985160339053,2,0.5365060015722831,0,0.0,0,0.0
2016-07-13,-0.0969635324197037,2,-0.4045393607312978,0,0.0,0,0.0
2016-07-14,0.1618117811790406,2,0.6760299294918595,0,0.0,0,0.0
2016-07-15,0.0194160372834777,2,0.0814273541062705,0,0.0,0,0.0
2016-07-18,-0.1135645004282457,2,-0.4738601006756917,0,0.0,0,0.0
2016-07-19,0.0716854235525456,2,0.2996888754071213,0,0.0,0,0.0
2016-07-20,0.044007530045404,2,0.1841141657257367,0,0.0,0,0.0
2016-07-21,-0.1333214130330794,2,-0.5563591332669894,0,0.0,0,0.0
2016-07-22,0.0250213890693823,2,0.1048336478385156,0,0.0,0,0.0
2016-07-25,0.0730444269422288,2,0.3053636722329031,0,0.0,0,0.0
2016-07-26,0.2048940947407823,2,0.855928948216529,0,0.0,0,0.0
2016-07-27,0.3540884152495043,2,1.4789203718397834,-1,-0.3810132217344676,-1,-1.0
2016-07-28,-0.1338039705924662,2,-0.5583741511301189,0,0.0,0,0.0
2016-07-29,-0.2599456076333339,0,-1.0851043763176382,0,0.0,0,1.0
2016-08-01,0.1509650387329899,2,0.6307371362065756,0,0.0,0,0.0
2016-08-02,-0.0142786841397192,2,-0.0592718521131736,0,0.0,0,0.0
2016-08-03,0.069390129952907,2,0.2901044071619738,0,0.0,0,0.0
2016-08-04,0.0358072339191979,2,0.1498721507456913,0,0.0,0,0.0
2016-08-05,0.2302820429754202,2,0.961941522687458,0,0.0,0,0.0
2016-08-08,-0.015698031732181,2,-0.0651986285094123,0,0.0,0,0.0
2016-08-09,0.0997621322492733,2,0.4169289195454453,0,0.0,0,0.0
2016-08-10,-0.0269248064849633,2,-0.1120783244796394,0,0.0,0,0.0
2016-08-11,-0.0020778015087783,2,-0.0083245693091623,0,0.0,0,0.0
2016-08-12,-0.1184096911592785,2,-0.4940921863272088,0,0.0,0,0.0
2016-08-15,0.1313863862785561,2,0.5489824653610484,0,0.0,0,0.0
2016-08-16,0.1076443103216013,2,0.4498425674764638,0,0.0,0,0.0
2016-08-17,-0.0553866359666524,2,-0.230926519285307,0,0.0,0,0.0
2016-08-18,-0.1006952126036374,2,-0.4201217551707671,0,0.0,0,0.0
2016-08-19,0.1769206653143525,2,0.7391201678113974,0,0.0,0,0.0
2016-08-22,-0.0500657440130261,2,-0.2087080458083532,0,0.0,0,0.0
2016-08-23,0.0412583959491762,2,0.1726345935912195,0,0.0,0,0.0
2016-08-24,0.1674588355566998,2,0.6996103609320105,0,0.0,0,0.0
2016-08-25,0.2401374829665789,2,1.0030949296642775,-1,-0.0287704027348446,-1,-1.0
2016-08-26,0.2626621121889095,2,1.0971511295112777,-1,-0.1744622912633564,-1,-1.0
2016-08-29,-0.0684276117268538,2,-0.2853817829078205,0,0.0,0,0.0
2016-08-30,0.2118421955184293,2,0.8849421652088681,0,0.0,0,0.0
2016-08-31,0.0004852952392738,2,0.0023781657983699,0,0.0,0,0.0
2016-09-01,0.0761713344968468,2,0.3184207147687541,0,0.0,0,0.0
2016-09-02,0.0125088697048855,2,0.0525850620651335,0,0.0,0,0.0
2016-09-06,-0.2274892980958654,2,-0.9495764124155374,0,0.0,0,0.0
2016-09-07,-0.078460407724421,2,-0.327275776192107,0,0.0,0,0.0
2016-09-08,-0.0043994675063999,2,-0.0180191609002104,0,0.0,0,0.0
2016-09-09,0.3470084731063567,2,1.4493566242394054,-1,-0.4485786159453275,-1,-1.0
2016-09-12,-0.2031839561314705,2,-0.8480844820228977,0,0.0,0,0.0
2016-09-13,0.1780745662820263,2,0.7439385174920028,0,0.0,0,0.0
