Date,spread,regime,z_score,signal
2016-07-06,0.049437460249220605,2,0.3703311523128233,0
2016-07-07,-0.01047657034552582,2,-0.0773047948641673,0
2016-07-08,0.0827367348082122,2,0.6191201614907154,0
2016-07-11,0.023987568839292317,2,0.18018727226089873,0
2016-07-12,-0.009763617385592505,2,-0.07197810643502375,0
2016-07-13,0.0659863238844358,2,0.4939727463520996,0
2016-07-14,-0.058812982264616426,2,-0.43844083124420946,0
2016-07-15,0.09132627013154059,2,0.683295192649535,0
2016-07-18,-0.03361856011036493,2,-0.2502056397098874,0
2016-07-19,-0.05434090281407147,2,-0.4050285653555083,0
2016-07-20,0.0258806272495386,2,0.19433088747289662,0
2016-07-21,0.005062838369718103,2,0.03879485441278412,0
2016-07-22,-0.06358764101964914,2,-0.4741137591550783,0
2016-07-25,-0.03617028021900451,2,-0.26927031682178926,0
2016-07-26,0.3020756758162906,3,2.257868108112062,0
2016-07-27,0.07221076007634473,2,0.5404774024860538,0
2016-07-28,-0.08309761064884388,2,-0.6198786767823142,0
2016-07-29,-0.06662884748576575,2,-0.49683553773527395,0
2016-08-01,-0.0291059909663839,2,-0.21649086300540152,0
2016-08-02,-0.0029600297802346853,2,-0.02114643392536239,0
2016-08-03,-0.024593698163894034,2,-0.18277815093225347,0
2016-08-04,-0.04618533466074992,2,-0.344095834927609,0
2016-08-05,-0.1578260057626258,0,-1.1781972475029985,0
2016-08-08,0.05616961274067662,2,0.4206291113574464,0
2016-08-09,0.04175312792626205,2,0.3129191681137176,0
2016-08-10,0.034070732164534184,2,0.2555216525526281,0
2016-08-11,0.0694089659124909,2,0.519544346040313,0
2016-08-12,-0.06698576645527807,2,-0.49950218792383744,0
2016-08-15,0.020578708602309037,2,0.15471864052591755,0
2016-08-16,0.011129672228846699,2,0.08412201557918035,0
2016-08-17,0.039133419345756884,2,0.293346528447827,0
2016-08-18,0.08623461160901846,2,0.6452538630510078,0
2016-08-19,0.05227040563830493,2,0.3914969490378169,0
2016-08-22,-0.03931344905234659,2,-0.29275388726236073,0
2016-08-23,0.06822239597416488,2,0.51067912110115,0
2016-08-24,-0.04094496723735347,2,-0.3049434558964909,0
2016-08-25,0.057459324291505076,2,0.43026493865715115,0
2016-08-26,-0.08490557934964259,2,-0.6333865608925071,0
2016-08-29,0.018154340284736753,2,0.13660544738284905,0
2016-08-30,-0.09109502418162699,2,-0.6796297859328202,0
2016-08-31,-0.09439311249633148,2,-0.7042708069419387,0
2016-09-01,0.03031178949050513,2,0.22743744844267214,0
2016-09-02,0.03488714933389875,2,0.261621353562096,0
2016-09-06,-0.05549293552424987,2,-0.4136357521576728,0
2016-09-07,0.028547938859374254,2,0.21425918385076811,0
2016-09-08,0.08706587669774704,2,0.6514644973824729,0
2016-09-09,-0.23630794042907644,0,-1.7645596539704385,0
2016-09-12,-0.04580993620974738,2,-0.34129111891175756,0
