asset_a,asset_b,pvalue,beta
CDW,CRH,1.1291403458900057e-27,0.9552937759364305
CDW,AMCR,1.4393383033721237e-27,1.0985506600766304
CDW,WY,1.704241858298211e-27,0.8500085772913843
CRH,TEL,1.930127329047704e-27,0.8458344973327883
CTSH,CRH,2.0540361202998117e-27,0.8555174863754516
LIN,CSX,2.2903087905621047e-27,1.0010783737740703
CTSH,APO,3.493610283920471e-27,0.9292083564540143
CTSH,KKR,4.57164615032589e-27,0.8360167740572277
CDW,EL,5.495984682195734e-27,1.1458955815708156
EL,CBRE,5.949109029193433e-27,0.7407792305688236
APO,ARES,6.457142788289836e-27,1.0571867610255479
ECL,ARES,7.414996580892172e-27,1.0960523116587355
LIN,WY,9.741676853287569e-27,0.8272518624163371
CDW,CBRE,1.0310995774476963e-26,0.8698713301485164
CDW,KKR,1.1025204371879827e-26,0.9185518803750785
ECL,KKR,1.2872752620726281e-26,0.8886132288137181
PAYX,ARES,1.9064837330449574e-26,1.1360627007902577
APH,WY,1.9266901772854705e-26,0.9733046012256014
STZ,APO,2.8291372460544185e-26,0.7310255189521793
NKE,ECL,2.996386370209396e-26,0.8027083374404183
CDW,STZ,3.2913252176339526e-26,1.0885788741165303
STZ,ARES,3.299577890807878e-26,0.7721074068069458
CTSH,EL,3.6842871892105684e-26,1.0716742357056448
APH,KKR,4.2062017352330694e-26,1.0413067395598097
APH,CBRE,4.282082345800597e-26,0.9893044852100309
AMCR,KKR,4.460252187235034e-26,0.6760526156045215
STZ,CBRE,4.616114743523547e-26,0.6933372417883631
NKE,CBRE,5.0959002196572e-26,0.7796341805620481
STZ,CRH,6.853747730851969e-26,0.7184201447012946
NKE,WY,7.455937862843468e-26,0.7702677486325434
PAYX,IT,1.1507543230068713e-25,1.083152077404595
STZ,KKR,1.4420551344869001e-25,0.6296751398065887
AMCR,CBRE,2.3923079748460945e-25,0.7399287530228663
GRMN,BLK,2.625364792257795e-25,0.8135220184830678
LIN,KKR,3.4551313947810695e-25,0.857667044671091
AMCR,HAS,3.596049536381133e-25,1.0142535961787718
BLK,CRH,4.535227546453247e-25,1.0376033117802776
STZ,EL,5.527460973822204e-25,0.8476735991039732
AMCR,CRH,7.492659377942905e-25,0.7888604233823502
LIN,ARES,8.326904907491553e-25,1.0532560697421949
NKE,STZ,1.0640714460091308e-24,0.9491841309360607
GRMN,KKR,1.2626997537387288e-24,0.8377757752599967
NKE,APH,1.7970452146980934e-24,0.7519291472074089
CSX,TEL,1.931532474611061e-24,0.80096996313019
PAYX,CRH,1.985769856023887e-24,0.9345626461058009
PAYX,KKR,2.396210296827694e-24,0.9011065947077539
PAYX,TEL,3.074940023961139e-24,0.8069257550918967
MSI,TEL,4.270275080766942e-24,0.7124538685443345
CTSH,APH,4.8825048942453705e-24,0.7826966402069758
APH,TEL,6.422640436665464e-24,0.9915083560810627
EL,BLK,8.461134123023604e-24,0.7238522327137528
CDW,ECL,9.482116451385235e-24,0.8875773478872748
CTSH,PAYX,1.3017131346453542e-23,0.8417002870921658
CDW,MSI,1.7711022461750604e-23,1.0285167523887306
ECL,CRH,1.9472173585072267e-23,0.9755264534834135
STZ,TEL,1.9678736159459344e-23,0.604669500956752
CTSH,ECL,2.0240885476279235e-23,0.8491097826864378
WY,TEL,2.2392851329160533e-23,0.8508961112988926
ACN,TEL,2.461053039503476e-23,0.8462846289409283
ARES,KKR,3.5122057763531614e-23,0.832241412598269
CDW,TEL,4.201917831635552e-23,0.8437689297047409
NKE,PAYX,5.138065691952909e-23,0.7709209033082625
LIN,TEL,6.553879206196997e-23,0.826159836991283
GRMN,TEL,6.788056942775693e-23,0.7694292111611318
APH,PAYX,6.922582265448528e-23,0.9886641507180789
HPQ,CBRE,1.3310954570889992e-22,0.8010032901867451
APO,CBRE,1.8130140243201571e-22,0.8623409276172761
HPQ,MSI,2.0317867170625102e-22,0.8789881324484714
HPQ,PAYX,3.1841347602430435e-22,0.7366213226234971
NKE,BLK,6.124624659933432e-22,0.7681824601004084
ARES,IT,6.583974532488462e-22,0.9207924769366802
AMCR,WY,9.472727824653075e-22,0.7517100132505162
HPQ,ACN,9.521499531349264e-22,0.758515010429951
NKE,GRMN,2.2823142830869995e-21,0.9415165790779398
NKE,ARES,1.2582191736614097e-20,0.970347787337475
STZ,WY,1.8496619187603028e-20,0.7229390079302426
GRMN,HPQ,2.473018490154322e-20,0.9309406392304744
APH,HPQ,3.3744480432429025e-20,1.1983801470729136
BLK,MSI,3.615421202916612e-20,1.1435255756331328
CDW,GRMN,1.1217142046255313e-19,1.0332290673064546
STZ,HPQ,1.3479214852271572e-19,0.759041577131222
PAYX,CSX,1.5254585952457584e-19,1.0057947155217803
LIN,APO,2.461745760146783e-19,0.9709749868556602
PAYX,ACN,2.520630498133238e-19,0.9530758129144485
HAS,ARES,2.6800255303692905e-19,0.8010804773467683
APH,BLK,3.6739177312285926e-19,0.980284721673062
CTSH,TEL,4.2142147413864287e-19,0.7596386216112645
KKR,ACN,8.037438759072688e-19,0.9015679543698174
EL,KKR,1.0672100611410912e-18,0.77564458871499
CTSH,CBRE,1.1324708552873333e-18,0.8114998940401779
AMCR,HPQ,1.3033896927230267e-18,0.8056477582942182
KKR,MSI,1.5060154278252176e-18,1.0003136263083752
AMCR,TEL,1.837846664275927e-18,0.6578728693963138
HAS,PAYX,1.9703738646998687e-18,0.6404279474054126
NKE,ACN,2.0407330443045827e-18,0.7947266988074974
CTSH,HAS,2.31836839368249e-18,1.1488697155333891
ARES,TEL,2.5021390726196905e-18,0.714203281532503
HPQ,CSX,2.5756000634388844e-18,0.8902198996575261
BLK,TEL,2.736626473746484e-18,0.8936612180166259
CTSH,HPQ,3.139296488986329e-18,0.9284719860867946
ECL,IT,3.354754588761817e-18,1.0916564767432588
ECL,CSX,4.960119046531278e-18,1.0166329280394786
NKE,MSI,7.641160251478996e-18,0.8991391024653967
HAS,MSI,9.251402098582305e-18,0.7351359700885784
APO,KKR,9.92854973870062e-18,0.8982724157631082
ECL,TEL,1.4832289482865595e-17,0.8268774615709216
CDW,NKE,1.6188716344142957e-17,1.0746256874013391
ACN,IT,1.8645604441096358e-17,1.1472321699266685
NKE,LIN,1.8962806011892422e-17,0.8161547729525435
BLK,KKR,2.343283292406098e-17,1.018128847034298
WY,BLK,3.5253738389332885e-17,0.8522406270892348
CDW,PAYX,4.9634612997895144e-17,0.8671589475358054
ECL,CBRE,5.187412128640229e-17,0.9185369174537154
CDW,HPQ,5.451486876824005e-17,1.0400601920627512
LIN,HPQ,1.007180694599584e-16,1.0042176618324226
PAYX,MSI,2.036300443244578e-16,1.1422498377685417
LIN,CRH,2.155393302617394e-16,0.94572609727374
CDW,BLK,2.59317461267194e-16,0.8546273593700016
PAYX,CBRE,2.605592479926459e-16,0.8937862988821597
MSI,IT,2.7049926914673845e-16,0.9632145235009486
HPQ,ARES,3.726910450074165e-16,0.9594626567539553
LIN,IT,4.143793735490233e-16,1.0314705749719002
APH,GRMN,6.011237317077165e-16,1.2129537649407889
HPQ,ECL,7.481749655728327e-16,0.7750263015907994
HAS,APH,8.730673613449491e-16,0.6300828089323337
WY,ECL,9.00799829655467e-16,0.9426006631628541
HAS,LIN,1.2725808639302306e-15,0.6840958366326524
CDW,ARES,1.5232270857039844e-15,1.0898608957809612
AMCR,CSX,1.7439053517478521e-15,0.808834890418359
ECL,PAYX,2.1395685387151527e-15,0.9581410272175873
HPQ,BLK,4.448250295379218e-15,0.7579396778707824
HAS,BLK,6.84751303900789e-15,0.6360419824961147
CTSH,NKE,1.5516937602534224e-14,0.9893194107003117
HAS,GRMN,1.7173098833149398e-14,0.7747811653511646
AMCR,LIN,1.553988205787615e-13,0.7558452147805784
GRMN,CRH,5.184329468708189e-13,0.8660320249689056
LIN,CBRE,6.526370564560603e-13,0.8429340686689397
CBRE,CSX,1.0092508075584039e-12,0.9918696111257737
GRMN,CBRE,2.247160257357017e-12,0.7955777554785132
AMCR,GRMN,4.220173272322891e-12,0.8115545162793123
STZ,MSI,5.592053024104685e-12,0.8080868490195868
BLK,CBRE,1.1559654093776247e-11,0.9684734287865974
STZ,PAYX,1.8825307413915184e-11,0.7018022333275429
CBRE,ARES,2.073156596311731e-11,1.1143342430419474
WY,GRMN,2.4684098528076106e-11,1.0513451646061367
AMCR,ECL,3.659064370366463e-11,0.7566239326833865
AMCR,PAYX,4.789089198382462e-11,0.7055401494188627
APO,BLK,4.8931146916838805e-11,0.821066283852428
WY,PAYX,1.231202429530278e-10,0.8899885790825417
HAS,ACN,2.611979898579496e-10,0.6372838471108104
CRH,ACN,5.040625967424911e-10,0.8086304882860444
HAS,NKE,6.689208708458928e-10,0.8275553590817573
CRH,MSI,1.5714366299001853e-09,0.9504548257779415
CRH,CSX,1.5814191944291372e-09,0.9770478364482889
CBRE,ACN,3.052182119405069e-09,0.8515653817521821
CDW,ACN,5.335214879372414e-09,0.8875501360420215
CBRE,MSI,1.2276942211609918e-08,0.9946874259735894
