asset_a,asset_b,pvalue,beta
CDW,HAS,0.0,1.2455481903493182
CTSH,ACN,0.0,0.8331555684525936
CTSH,CSX,0.0,0.8746266752320493
CTSH,IT,0.0,0.9699648376465039
CTSH,MSI,0.0,0.9768221097754696
CDW,LIN,0.0,0.9432191685333311
HAS,EL,0.0,0.8751839339083225
HPQ,CRH,0.0,0.9029729958385011
AMCR,ACN,0.0,0.6569779328048042
AMCR,MSI,0.0,0.8041787555307154
AMCR,ARES,0.0,0.8147810332631203
AMCR,BLK,0.0,0.6694862287157143
AMCR,APO,0.0,0.7705033772793625
AMCR,EL,0.0,0.8711801151040132
AMCR,STZ,0.0,0.9671446886168037
AMCR,APH,0.0,0.6512524560466737
AMCR,IT,0.0,0.8184240739611286
HAS,STZ,0.0,0.8539834615326558
HAS,CRH,0.0,0.7343585717959561
HAS,KKR,0.0,0.6858878672720796
HAS,IT,0.0,0.7795354200298866
HAS,CBRE,0.0,0.6948047979232943
NKE,EL,0.0,1.0413330175719013
HAS,TEL,0.0,0.6400120338661138
ECL,MSI,0.0,1.1002771099993407
CRH,KKR,0.0,0.8874576686165939
CRH,ARES,0.0,1.0267429590371173
ECL,ACN,0.0,0.9122238841058551
HPQ,TEL,0.0,0.8002736064583514
HPQ,IT,0.0,0.9298335264259612
HPQ,ACN,0.0,0.7587286214687687
HPQ,KKR,0.0,0.8293448927313356
NKE,HPQ,0.0,0.9071098451053488
NKE,APO,0.0,0.8760564362707872
HAS,ECL,0.0,0.676540727179422
HAS,HPQ,0.0,0.7906448705080393
APH,IT,0.0,1.1938366755411551
STZ,LIN,0.0,0.7257411925632878
APH,ACN,0.0,1.0031147975147952
STZ,ECL,0.0,0.7274545546115185
STZ,IT,0.0,0.7867938106975614
BLK,ACN,0.0,0.9908349257719148
NKE,IT,0.0,0.9449987781757073
BLK,IT,0.0,1.1507216910616473
NKE,TEL,0.0,0.743039966672473
APH,LIN,0.0,1.0994511422204305
APH,EL,0.0,1.30778796044429
APH,STZ,0.0,1.2135717999819766
APO,MSI,0.0,0.9311077905225444
APO,TEL,0.0,0.7817205793376225
BLK,ARES,0.0,1.2320756592004516
BLK,PAYX,0.0,0.9957249261403397
BLK,CSX,0.0,1.0859143779968756
APO,PAYX,0.0,0.8020345892351407
APO,CSX,0.0,0.8956390123663776
APO,ACN,0.0,0.8152710690893474
GRMN,IT,0.0,0.950774481857054
APO,HPQ,0.0,0.9581908632267183
APO,ECL,0.0,0.8197454351054078
GRMN,ACN,0.0,0.8242851285574695
GRMN,CSX,0.0,0.9063602560230533
NKE,CSX,0.0,0.8397948930082298
NKE,KKR,0.0,0.8229261452714347
NKE,CRH,0.0,0.8460908656212742
STZ,ACN,0.0,0.650163678354227
EL,LIN,0.0,0.7748989002346828
EL,HPQ,0.0,0.8539173110067033
EL,APO,0.0,0.8389894403946153
APH,ARES,0.0,1.2466983009551624
APH,CRH,0.0,1.1020090415192505
APH,ECL,0.0,1.0227660029953278
APH,APO,0.0,1.1409970997660828
KKR,CBRE,0.0,0.9231884172764621
LIN,PAYX,0.0,0.9004075518819217
LIN,ECL,0.0,0.9251711589576461
LIN,ACN,0.0,0.877832116511969
WY,IT,0.0,1.04648681413009
WY,MSI,0.0,1.0046383183327927
LIN,MSI,0.0,1.063355098331939
GRMN,APO,0.0,0.9147312829550724
WY,CBRE,0.0,0.9693058922078692
WY,ACN,0.0,0.8485811553106991
WY,KKR,0.0,0.9102517328625161
WY,ARES,0.0,1.0846555211742126
KKR,CSX,0.0,0.9524852888992046
CSX,ACN,0.0,0.8112827587995746
CSX,MSI,0.0,0.9738162113910213
CSX,IT,0.0,0.9787841856383823
ACN,MSI,0.0,1.1515643323407405
