,final_signal,model_signal
Total log return,116.1019,225.1478
Ann. log return,15.5213,30.0993
Ann. volatility,1.0467,2.0447
Sharpe ratio,14.828,14.721
Max drawdown,-0.1798,-0.2937
Hit rate,0.944,0.934
Active days,1638.0,1676.0
